"","mindsCode","response","P","K","C","S","Dest","Path","rated_P","rated_K","rated_C","rated_S","rated_Pu","rated_Ku","rated_Cu","rated_Su","rated_unc"
"25","M481805","Charlie wanted to get some exercise in because he know he is generally lazy",0,1,0,1,1,1,0,0,0,0,0,1,0,0,0
"26","M481805","Brooklyn wanted pizza and kept walking until he found it.",0,0,1,1,0,1,0,0,0,0,1,0,0,0,0
"27","M481805","Saw the pizza stand was close and went since Adrian is lazy",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"28","M481805","Taylor wanted to mix it up and have pizza instead",1,1,1,1,0,0,0,0,0,0,1,0,0,0,0
"29","M481805","Jesse was looking for hot dogs and kept walking until he found them",1,0,1,0,1,1,0,0,0,0,0,0,0,0,1
"30","M481805","Drew wanted hot dogs.",0,1,1,1,1,0,0,0,0,0,1,0,0,0,0
"31","M481805","Didn't fancy pizza so walked the other way hoping something else would pop up",1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"32","M481805","Parker decided he needed some exercise as he is generally lazy and also wanted to mix it up and not eat hot dogs again",1,1,0,0,0,1,0,0,0,0,1,1,0,0,0
"33","M669519","He knows the area well",0,1,1,0,1,0,0,0,1,0,0,0,0,0,0
"34","M669519","he is sporty and wanted to walk all the way around to see what was there",0,0,1,0,0,1,0,1,1,0,0,0,0,0,0
"35","M669519","they wanted to have something different to eat",1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
"36","M669519","they did not fancy a hotdog today so carried on walking",1,1,0,1,0,1,0,0,0,0,1,0,0,0,0
"37","M669519","stopped at the first place he came across",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"38","M669519","He decided to have a longer walk for achange",0,1,0,0,1,1,0,0,0,0,0,1,0,0,0
"39","M669519","he is lazy and prefers hotdogs",1,0,0,1,1,0,0,1,0,0,0,0,0,0,0
"40","M669519","they are sporty and dont know the area well so kept on walking",1,0,1,1,1,1,0,1,1,0,0,0,0,0,0
"41","M091317","Adrian took this path because they dont know the area well",0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
"42","M091317","Brooklyn chose this path because they are sporty",0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
"43","M091317","Drew chose this path because they are sporty",0,1,1,0,1,1,0,1,0,0,0,0,0,0,0
"44","M091317","Jesse took this path because they don't know the area well",1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"45","M091317","Taylor took this path because they are sporty",1,1,1,0,0,1,0,1,0,0,0,0,0,0,0
"46","M091317","Harper took this path because their favorite food is hot dogs",1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
"47","M091317","Parker took this path because they know the area well",1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
"48","M091317","Charlie took this path because they know the area well",0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
"49","M078144","he goes to the hot dog stand as he is lazy and doesn't want to walk any further to investigate",0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
"50","M078144","He goes to the pizza stand as he is lazy",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"51","M078144","Jesse decided that she wan't in the mood for hot dogs today.",1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
"52","M078144","Parker definitely didn't want pizza but needed the walk",1,1,0,1,1,1,0,0,0,0,1,1,0,0,0
"53","M078144","he wanted hot dogs so took the direct route as he was hungry and had been out running already today.",1,1,1,0,1,0,0,0,0,0,0,1,0,0,0
"54","M078144","Brooklyn didn't want pizza so continued on her route and decided to have hot dog when she discovered the stand.",0,0,1,0,1,1,0,0,0,1,1,0,0,0,0
"55","M078144","he know he wanted to buy pizza",0,1,1,1,0,0,0,0,0,0,1,0,0,0,0
"56","M078144","He thought he wanted hot dogs but when he reached the stand decided he wanted pizza instead.",0,1,0,1,0,1,0,0,0,0,0,0,0,0,1
"57","M043484","They were looking for pizza and didn't know the area well",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"58","M043484","Charlie wanted pizza and didn't want to walk far",0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
"59","M043484","Taylor wanted more exercise today",1,1,1,1,0,1,0,0,0,0,0,1,0,0,0
"60","M043484","Jesse didn't know where the hot dog stand was so stopped for pizza",1,0,1,1,0,0,0,0,1,0,0,0,0,0,0
"61","M043484","Parker want straight for a hot dogs",1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
"62","M043484","Drew wanted exercise before getting hot dogs",0,1,1,1,1,1,0,0,0,0,0,1,0,0,0
"63","M043484","Harper didn't know the quickest route to take",1,0,0,0,1,1,0,0,1,0,0,0,0,0,0
"64","M043484","Brookly decided on hot dogs when they saw the stand",0,0,1,1,1,0,0,0,0,1,0,0,0,0,0
"65","M541462","Taylor took the long route because he wanted to get some exercise.",1,1,1,1,1,1,0,0,0,0,0,1,0,0,0
"66","M541462","Brooklyn choose to go to the Pizza van as it was the only one they could see and they didn't know the area.",0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
"67","M541462","Adrian does not like pizza, and so despite being lazy he continued to walk until he found the other option.",0,0,0,0,1,1,1,1,0,0,0,0,0,0,0
"68","M541462","Jesse could see their favourite food van and so went directly to it.",1,0,1,1,1,0,1,0,0,1,0,0,0,0,0
"69","M541462","Parker thought the Hot Dog van he could see was too far away and decided to see if the hot dog van was closer.",1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
"70","M541462","Being sporty, Drew decided to go the long way round to get to the pizza van.",0,1,1,0,0,1,0,1,0,0,0,0,0,0,0
"71","M541462","Haper though they should do some exercise that day as they felt guilty about being lazy.",1,0,0,1,0,1,0,0,0,0,0,1,0,0,0
"72","M541462","As Charlie knows the area well he knew the Hot Dog van wouldn't be too far away and decide to walk towards it.",0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
"73","M058012","They thought there would be a closer food vendor.",1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"74","M058012","The hot dog vendor was no longer selling hot dogs.",1,0,1,1,0,1,0,0,0,0,0,0,0,1,0
"75","M058012","They were intentionally wasting time.",1,1,0,0,1,1,0,0,0,0,0,0,0,0,1
"76","M058012","Pizza didn't appeal to them so they looked for alternatives.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"77","M058012","They looked for alternatives before choosing.",0,0,1,1,1,1,0,0,0,0,0,0,0,0,1
"78","M058012","They didn't want to go back the same way after trying the hot dog vendor but seeing that they were no longer selling hot dogs.",0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
"79","M058012","They wanted hot dogs.",1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
"80","M058012","They went to the most convenient vendor.",0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
"81","M064601","Parker wanted a change in food choices.",1,1,0,1,0,0,0,0,0,0,1,0,0,0,0
"82","M064601","Jesse loves hot dogs.",1,0,1,1,1,0,1,0,0,0,0,0,0,0,0
"83","M064601","Drew is sporty and wants more exercise.",0,1,1,0,0,1,0,1,0,0,0,0,0,0,0
"84","M064601","Brooklyn was hungry and wanted pizza.",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"85","M064601","Taylor is sporty and wants more exercise.",1,1,1,1,1,1,0,1,0,0,0,0,0,0,0
"86","M064601","Harper does not know the area well and got lost.",1,0,0,1,0,1,0,0,1,0,0,0,0,0,0
"87","M064601","Charlie knows the area well and wanted hot dogs.",0,1,0,0,1,0,0,0,1,0,1,0,0,0,0
"88","M064601","Adrian does not know the area well and got lost.",0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
"89","M548118","Harper wanted his favourite food so went further afield as that is what he wanted most.",1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"90","M548118","They wanted to go for a walk before eating but were too lazy at the end of the walk to go that bit further to go back to the hot dog stand",1,1,0,0,0,1,0,0,0,0,0,0,0,0,1
"91","M548118","His favourite food is pizza and he stopped when he found it",0,0,1,1,0,1,1,0,0,0,0,0,0,0,0
"92","M548118","He had already done his exercise and merely wanted to get some tea so knew where to go to get the food he wanted quickest",0,1,1,1,1,0,0,0,0,0,0,1,0,0,0
"93","M548118","Charlie changed his mind after seeing the pizza place and decided he would rather have a hot dog",0,1,0,1,1,1,0,0,0,0,0,0,0,0,1
"94","M548118","Taylor didn't fancy hot dogs tonight",1,1,1,1,0,0,0,0,0,0,1,0,0,0,0
"95","M548118","Adrian just ate the first thing he found",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"96","M548118","Jesse thought they would go for a walk even after seeing the pizza place to see if there were any other options to eat. They didn't mind walking further to see what else there was.",1,0,1,0,1,1,0,0,0,0,0,0,0,0,1
"97","M001177","Taylor wanted to take the long route to the hot dog stall because they are sporty and fancied a run.",1,1,1,0,1,1,0,1,0,0,0,0,0,0,0
"98","M001177","Adrian wanted to see if there were other food stalls, but doesn't like pizza.",0,0,0,1,1,1,0,0,0,0,0,0,0,0,1
"99","M001177","Drew fancied a longer run to the food truck as he is sporty.",0,1,1,1,0,1,0,1,0,0,0,0,0,0,0
"100","M001177","Harper fancied a change from hot dogs.",1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"101","M001177","Parker went for the closest food stall because he is lazy.",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"102","M001177","Jesse set out looking for the hot dog stall and got lucky by taking the shortest route.",1,0,1,0,1,0,0,0,0,0,0,0,0,0,1
"103","M001177","Brooklyn set out to explore and found the pizza stall.",0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
"104","M001177","Charlie went to the nearest food stall because he is lazy,",0,1,0,1,1,0,0,1,0,0,0,0,0,0,0
"105","M740010","that he doesnt like pizza at all",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
"106","M740010","that he was really hungry by the time he got to the hot dog stand,",0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
"107","M740010","that he sight of the pizza stand piqued his appetite",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"108","M740010","that he quite likes pizza aswell",1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
"109","M740010","that he was hungry at the time and doesnt mind at the least hotdogs",0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
"110","M740010","that she spottted the hotdog stand",1,0,1,1,1,0,0,0,0,1,0,0,0,0,0
"111","M740010","that he wasnt hungry when he passed the hot dog stand",1,0,0,1,0,1,0,0,0,0,0,0,0,0,1
"112","M740010","that he wanted to explore before eating",0,1,1,0,0,1,0,0,0,0,0,0,0,0,1
"113","M121212","Drew wanted a hot dog and chose to take the long route for exercise",0,1,1,1,1,1,0,0,0,0,1,1,0,0,0
"114","M121212","Jesse didn't know how far the hot dog stand was, so decided to choose pizza when they found it.",1,0,1,1,0,0,0,0,1,1,0,0,0,0,0
"115","M121212","Brooklyn decided that he wanted hot dogs that day",0,0,1,1,1,0,0,0,0,0,1,0,0,0,0
"116","M121212","Parker took the quickest route to their favourite food stand",1,1,0,0,1,0,1,0,0,0,0,0,0,0,0
"117","M121212","Charlie chose the food stand closest to them",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"118","M121212","Adrian really wanted pizza and so continued until he found it.",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"119","M121212","Harper was keen on having hot dogs. He continued to walk until he could find them.",1,0,0,0,1,1,0,0,0,0,0,0,0,0,1
"120","M121212","Taylor wanted more exercise and decided that he wanted pizza that day.",1,1,1,1,0,1,0,0,0,0,1,1,0,0,0
"121","M655629","There was no thought put into it",0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
"122","M655629","stupidity",1,0,0,1,1,1,0,0,0,0,0,0,0,0,1
"123","M655629","saw the hotdog van",1,1,0,1,1,0,0,0,0,1,0,0,0,0,0
"124","M655629","must have been really hungry, went to closest place",1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"125","M655629","went for a run as is sporty and decided on pizza for a change.",1,1,1,0,0,1,0,1,0,0,1,0,0,0,0
"126","M655629","is sporty,knows area,took longest route to hotdog stand.",0,1,1,0,1,1,0,1,1,0,0,0,0,0,0
"127","M655629","did not fancy pizza",0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
"128","M655629","wanted pizza and took quickest route as lazy",0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
"129","M909198","They go to the hot dog place since it is closer.",0,1,0,1,1,0,0,0,0,1,0,0,0,0,0
"130","M909198","They go just for a walk and did not know the pizza place is around the corner.",0,0,1,1,0,0,0,0,1,1,0,0,0,0,0
"131","M909198","They went to the hot dogs place as its their favourite.",1,1,1,0,1,1,1,0,0,0,0,0,0,0,0
"132","M909198","They wanted pizza and walked to get it.",0,1,1,1,0,1,0,0,0,0,1,0,0,0,0
"133","M909198","They do not know where they are going and so only found a pizza place.",1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"134","M909198","They had no idea where they were going and found the hotdog place.",0,0,0,1,1,1,0,0,1,0,0,0,0,0,0
"135","M909198","They went to the nearest place to get pizza as they did not want to walk.",1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"136","M909198","They went for a walk and found their favourite place.",1,0,1,0,1,0,1,0,0,0,0,0,0,0,0
"137","M785342","As they are lazy so have chosen shortest route",1,0,0,1,1,0,0,1,0,0,0,0,0,0,0
"138","M785342","As he doesnt know the area well",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"139","M785342","because he likes hot dogs",0,1,0,0,1,1,1,0,0,0,0,0,0,0,0
"140","M785342","knows the area well and likely prefers hot dogs",0,1,1,0,1,0,0,0,1,0,0,0,0,0,0
"141","M785342","because they are sporty so enjoy extra walking",0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
"142","M785342","they know the area well and might not want to queue",1,1,0,1,0,1,0,0,1,0,0,0,0,0,0
"143","M785342","favourite food is hot dogs",1,0,1,1,1,1,1,0,0,0,0,0,0,0,0
"144","M785342","because they know the area well and what else is there",1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
"145","M020165","They go to the pizza stand because it's their favourite",1,1,1,1,0,0,1,0,0,0,0,0,0,0,0
"146","M020165","Adrian goes to the pizza stand because it's near and he's lazy.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"147","M020165","Parker is trying to exercise more and stop being lazy.",1,1,0,0,0,1,0,1,0,0,0,0,0,0,0
"148","M020165","They don't know the area well enough to know there is a shorter route.",1,0,1,0,1,1,0,0,1,0,0,0,0,0,0
"149","M020165","They go to the hot dog stand because it's their favourite",0,1,1,1,1,0,1,0,0,0,0,0,0,0,0
"150","M020165","They go to the pizza stand because it's their favourite and are sporty.",0,0,1,1,0,1,1,1,0,0,0,0,0,0,0
"151","M020165","Charlie is trying to stop being lazy.",0,1,0,1,1,1,0,1,0,0,0,0,0,0,0
"152","M020165","They go to the hot dog stand because it's their favourite.",1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"153","M381415","Drew likes Pizza best and knows where the Pizza van is",0,1,1,1,0,0,1,0,1,0,0,0,0,0,0
"154","M381415","Taylor's favourite is Hot Dogs and they know where the van is",1,1,1,0,1,0,1,0,1,0,0,0,0,0,0
"155","M381415","Harper is hungry and decides to have pizza as they van see the Pizza van.",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"156","M381415","Jesse is getting some exercise, get hungry and decides to get some pizza even though hot dogs are their favourite.",1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
"157","M381415","Parker takes the long route to the hot dog van even though they are lazy - they have turned over a new leaf and decided to get some extra exercise",1,1,0,1,1,1,0,0,0,0,0,1,0,0,0
"158","M381415","Charlie decides to get a hot dog but changes his mind and goes to the pizza van instead",0,1,0,1,0,1,0,0,0,0,0,0,0,0,1
"159","M381415","Adrian is hungry and sees a hot dog van so decides to get a hot dog",0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
"160","M381415","Brooklyn is taking an extended walk for exercise and sees a hot dog van and decides to get a hot dog",0,0,1,0,1,1,0,0,0,1,0,0,0,0,0
"161","M515545","He doesn't know the hot dog stand is at the corner",1,0,0,0,1,1,0,0,1,1,0,0,0,0,0
"162","M515545","He wanted to take the long route because he is sporty",0,1,1,1,1,1,0,1,0,0,0,0,0,0,0
"163","M515545","He wanted to try pizza and wanted to take a long route because he is sporty",1,1,1,1,0,1,0,1,0,0,1,0,0,0,0
"164","M515545","He doesn't know the area well and he suddenly feels hungry when he is walking. So he buy the pizza from pizza stand when is walking along the path",1,0,1,1,0,0,0,0,1,0,0,0,0,0,0
"165","M515545","He is lazy and hungry . So he wants to buy the food which is closer to him",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"166","M515545","He goes to hot dog stand because it is his favourite.He want to take the short route because he know the hot dog stand is at the corner",1,1,0,0,1,0,1,0,1,0,0,0,0,0,0
"167","M515545","Adrian doesn't know the area well. So he walk around the road to  familiar the area and buy the pizza  at the end of the walk",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"168","M515545","He is hungry and he sees there is a hot dog stand.",0,0,1,1,1,0,0,0,0,1,0,0,0,0,0
"169","M565067","he wanted the extra exercise to be relieved of some guilt.",0,1,1,0,1,1,0,0,0,0,0,1,0,0,0
"170","M565067","He took the shortest path and didn't want to get lost.",0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
"171","M565067","Shortest path to his distation",0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
"172","M565067","He doesn't want to do any unnecessary steps and to get their asap",1,1,0,1,1,0,0,0,0,0,0,1,0,0,0
"173","M565067","He wants to do some exercise before having his food.",1,1,1,0,0,1,0,0,0,0,0,1,0,0,0
"174","M565067","He might have believed that the other path was shorter, or mayhbe the road was blocked.",1,0,0,1,1,1,0,0,0,0,0,0,0,0,1
"175","M565067","He didn't know that the other path lead to the destination.",0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
"176","M565067","He took the shortest path, not knowing if he would find the other path there.",1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"177","M023413","He wanted a hot dog today for a change. He is sporty and fancied a long walk.",0,0,0,0,1,1,0,1,0,0,1,0,0,0,0
"178","M023413","He didn't know the area and was very hungry. He wanted pizza, but would settle for a hot dog.",1,0,1,1,1,0,0,0,1,0,0,0,0,0,0
"179","M023413","Today he really wanted pizza and decided to walk a long distance to get pizza.",1,0,0,1,0,1,0,0,0,0,1,0,0,0,0
"180","M023413","He was silly and walked the complete long way round to get pizza. If he knew the area, he could have saved so much time!",0,1,1,0,0,1,0,0,1,0,0,0,0,0,0
"181","M023413","He did not know the area and walked straight past the pizza and ended up with a hot dog.",1,1,1,1,1,1,0,0,1,0,0,0,0,0,0
"182","M023413","Today he walked just a short didtance for pizza. Perhaps he is learning the area?",1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
"183","M023413","He really walked a short didtance today to get pizza. He is learning.",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"184","M023413","He just wanted a hot dog today. He was bored with pizza.",0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
"185","M302180","They wanted to get their exercise in, so took a longer route location and went for pizza.",1,1,1,1,0,0,0,0,0,0,0,1,0,0,0
"186","M302180","Charlie went to the closest location, as he is lazy.",0,1,0,1,1,1,0,1,0,0,0,0,0,0,0
"187","M302180","Harper went for a hot dog as it is his favourite.",1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"188","M302180","Drew chose a food truck close to him, to save time.",0,1,1,1,1,0,0,0,0,1,0,0,0,0,0
"189","M302180","Parker decided to try something new today and went for pizza. Also even though he is lazy, he tried to challenge himself today.",1,1,0,0,0,1,0,0,0,0,0,1,0,0,0
"190","M302180","Jesse wanted to try pizza and get her exercise in today.",1,0,1,0,1,1,0,0,0,0,1,1,0,0,0
"191","M302180","Adrian is interested in convenience and does not want to travel far.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"192","M302180","He is a sporty person and chose to get to know the area and took a long walk to discover the pizza truck.",0,0,1,1,0,1,0,1,1,0,0,0,0,0,0
"193","M068961","He is sporty and wanted to go for a long walk to see what is out there.",0,0,1,1,1,1,0,1,1,0,0,0,0,0,0
"194","M068961","He must have been in a good mood and just wanted to have a look around. But he knew he would end up back for a hot dog.",1,1,0,0,1,1,0,0,0,0,0,1,0,0,0
"195","M068961","He was having a good day and went for a long walk.",0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
"196","M068961","He is lazy and thought another hot dog stand was closer.",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"197","M068961","He already went for a long run and needed food quickly.",0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
"198","M068961","He thought that another stall would be closer if he went the other way.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"199","M068961","He knows what he likes and went straight to the hot dog stand.",1,1,1,1,1,0,1,0,0,0,0,0,0,0,0
"200","M068961","He wanted to see what other food stands were around so he walked around the neighbourhood.",1,0,1,1,0,1,0,0,1,0,0,0,0,0,0
"201","M492357","Adrian couldn't see where the pizza stand was.  He is lazy but as he didn't know the area well probably chose a route at random.  Unfortunately he chose wrongly and went the long way which wouldn't fit in well with his lazyness so route was an unfortunate choice of chance.",0,0,0,1,0,1,0,1,1,1,0,0,0,0,0
"202","M492357","Parker's favourite food is hot dogs so he would head for the hot dog stand.  He is lazy and can see the stand from his starting location so he chose the direct short route to the stand.",1,1,0,1,1,0,1,1,0,1,0,0,0,0,0
"203","M492357","Although Jesse is sporty they probably really like hot dogs or were very hungry so went to the hot dog stand by the shortest route.",1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"204","M492357","Charlie is lazy so would want to reach the hot dog stand (favourite) by the shortest route, however it could not be seen from the starting location so it was probably due to Charlie knowing the area well that the shortest route was taken.",0,1,0,1,0,0,1,0,1,1,0,0,0,0,0
"205","M492357","Drew is sporty and knows the area well so would know the shortest route to the hot dog stand (favourite) but the longer route was taken so Drew probably wanted a good amount of exercise before having a snack.",0,1,1,0,1,1,1,1,1,0,0,0,0,0,0
"206","M492357","Brooklyn must like hot dogs and doesn't the area well so the route would probably be a guess as Brooklyn can't see the hot dog stand from the starting location.  The route was therefore probably just chance as I would have expected a sporty person to perhaps prefer the longer route for a workout.",0,0,1,0,1,0,1,0,1,0,0,0,0,0,0
"207","M492357","Taylor's favourite food is hot dogs and Taylor knows the area well.  I'd guess that Taylor headed for the pizza stand by the long route for the workout as they are sporty.  Taylor maybe was tired of having hot dogs or wanted a change so had a pizza instead.",1,1,1,0,0,1,1,1,1,0,0,0,0,0,0
"208","M492357","Harper would be able to see the hot dog stand from the starting location.  They don't know the area well and are lazy.  It would make sense to go by the shortest path but the long route was taken so maybe they wanted to check on other food options before heading for the hot dog stand.",1,0,0,1,1,1,0,1,1,1,0,0,0,0,0
"209","M087770","better than pizza",0,1,1,1,0,1,0,0,0,0,1,0,0,0,0
"210","M087770","to have a change of food",1,0,1,0,1,0,0,0,0,0,1,0,0,0,0
"211","M087770","don't no",0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
"212","M087770","the closest place",0,1,0,1,1,0,0,0,0,1,0,0,0,0,0
"213","M087770","the closest place",1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"214","M087770","dont no taken area so taken a walk",1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"215","M087770","hes stretched his legs while getting food",1,1,1,0,1,1,0,0,0,0,0,0,0,0,1
"216","M087770","i think he fancied a walk",0,0,0,1,1,1,0,0,0,0,0,1,0,0,0
"217","M230523","He likes hot dogs more.",0,1,1,0,1,0,0,0,0,0,0,0,0,0,1
"218","M230523","They go to the pizza stand because it's their favourite",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"219","M230523","They wanted to take the long route because they are sporty",0,1,0,0,1,1,0,1,0,0,0,0,0,0,0
"220","M230523","the pizza stand was closer",1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
"221","M230523","Hot dogs are his favorite food",1,0,0,1,1,0,1,0,0,0,0,0,0,0,0
"222","M230523","They wanted to take the long route because they are sporty",1,0,1,1,1,1,0,1,0,0,0,0,0,0,0
"223","M230523","They go to the pizza stand because it's their favourite",1,1,0,1,0,1,1,0,0,0,0,0,0,0,0
"224","M230523","They wanted to take the long route because they are sporty",0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
"225","M620650","He wanted to take the long way to the hot dogs.",0,0,1,0,1,1,0,0,0,0,0,1,0,0,0
"226","M620650","Again, he wanted to take the long way to the hot dogs.",1,1,0,1,1,1,0,0,0,0,0,1,0,0,0
"227","M620650","I knew the way to the pizzas.",0,1,1,1,0,0,0,0,0,0,0,0,0,0,1
"228","M620650","He really didn't know he had a hot dog stand nearby.",1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"229","M620650","He took a tour and was able to get a hot dog stand.",1,1,1,0,1,0,0,0,0,0,0,0,0,0,1
"230","M620650","It doesn't look like hot dogs were his favorite food.",1,0,1,0,0,1,1,0,0,0,0,0,0,0,0
"231","M620650","He ate the hot dogs because it was the first thing he found.",0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
"232","M620650","He likes pizza very much.",0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
