response,c_Food.pref,c_Food.disp,c_Character,c_Char.now,c_Knowledge,c_Visibility,c_Disposition,c_Situation,c_Closer,Notes
didnt know there was a shorter way,0,0,0,0,1,0,0,0,0,
they didnt know the area,0,0,0,0,1,0,0,0,0,
they are sporty to liked the exercise,0,0,1,0,0,0,0,0,0,
knows pizza is closer,0,0,0,0,1,0,0,0,1,
they are lazy its closer,0,0,1,0,0,0,0,0,1,
likes the exercise of the long route,0,0,1,0,0,0,0,0,0,
they weren't in the mood for hot dogs that day,0,1,0,0,0,0,0,0,0,
"they didn't now the area well, so chose the food van in sight",0,0,0,0,1,1,0,0,0,
they got lost on the way,0,0,0,0,0,0,0,1,0,Lost
they are sporty so they took the long route,0,0,1,0,0,0,0,0,0,
laziness,0,0,1,0,0,0,0,0,0,
sportiness,0,0,1,0,0,0,0,0,0,
didn't know the area well,0,0,0,0,1,0,0,0,0,
favourite food is hot dogs,1,0,0,0,0,0,0,0,0,
He wanted a hot og to keep him going for the journey,0,1,0,0,0,0,0,0,0,
They liked the longer walk as they are sporty,0,0,1,0,0,0,0,0,0,
He took the long way as he likes to keep fit and is sporty,0,0,1,0,0,0,0,0,0,
His favourite food is pizza,1,0,0,0,0,0,0,0,0,
They dont know the quickest way to the hotdog van and its there favourite food,1,0,0,0,1,0,0,0,0,
they liked the long walk,0,0,0,1,0,0,0,0,0,
hot dog is there favourite food and it was closest,1,0,0,0,0,0,0,1,1,
they knew pizza was closest,0,0,0,0,1,0,0,0,1,
She is sporty so took longer route,0,0,1,0,0,0,0,0,0,
She never initially saw either of the stands,0,0,0,0,0,1,0,0,0,
They are lazy so went for shortest route,0,0,1,0,0,0,0,0,1,
They are sporty so took longest route they knew,0,0,1,0,0,0,0,0,1,
They prefer Pizza over Hotdogs,1,0,0,0,0,0,0,0,0,
They never knew there was a hotdog stand,0,0,0,0,1,0,0,0,0,
They decided to change it up,0,0,0,0,0,0,1,0,0,
They are lazy and like hotdogs so went to closest stall,1,0,1,0,0,0,0,0,1,
Brooklyn is hungry and the hot dog truck is the fastest way to get food,0,0,0,0,0,0,1,1,1,
Harper does not like pizza,1,0,0,0,0,0,0,0,0,
Jesse wants to get food asap,0,0,0,0,0,0,1,0,1,
Parker knows where is the hot dog truck and takes the shortest path,0,0,0,0,1,0,0,0,1,
Charlie want to get food as soon as possible and he chose the shortest path,0,0,0,0,0,0,1,0,1,Shortest
