"","mindsCode","situTag","Preference","Knowledge","Character","Start","prob_long","prob_hotdog","prob_short_hotdog","prob_long_hotdog","prob_short_pizza","prob_long_pizza"
"30","M008954","0010","Absent","No","Sporty","Pizza visible",0.571428571428571,0.5,0.214285714285714,0.285714285714286,0.214285714285714,0.285714285714286
"31","M008954","1011","Hot dogs","No","Sporty","Hot dogs visible",0.454545454545455,0.272727272727273,0.181818181818182,0.0909090909090909,0.363636363636364,0.363636363636364
"32","M008954","0001","Absent","No","Lazy","Hot dogs visible",0.25,0.583333333333333,0.5,0.0833333333333333,0.25,0.166666666666667
"33","M639152","1001","Hot dogs","No","Lazy","Hot dogs visible",0.461538461538462,0.538461538461539,0.230769230769231,0.307692307692308,0.307692307692308,0.153846153846154
"34","M639152","0101","Absent","Yes","Lazy","Hot dogs visible",0.533333333333333,0.533333333333333,0.2,0.333333333333333,0.266666666666667,0.2
"35","M639152","1100","Hot dogs","Yes","Lazy","Pizza visible",0.45,0.65,0.35,0.3,0.2,0.15
"36","M639152","0110","Absent","Yes","Sporty","Pizza visible",0.4,0.666666666666667,0.4,0.266666666666667,0.2,0.133333333333333
"37","M639152","1000","Hot dogs","No","Lazy","Pizza visible",0.571428571428571,0.5,0.142857142857143,0.357142857142857,0.285714285714286,0.214285714285714
"38","M639152","1111","Hot dogs","Yes","Sporty","Hot dogs visible",0.4,0.466666666666667,0.2,0.266666666666667,0.4,0.133333333333333
"39","M639152","0100","Absent","Yes","Lazy","Pizza visible",0.45,0.35,0.2,0.15,0.35,0.3
"40","M639152","0010","Absent","No","Sporty","Pizza visible",0.625,0.4375,0.25,0.1875,0.125,0.4375
"41","M639152","0011","Absent","No","Sporty","Hot dogs visible",0.5,0.5625,0.1875,0.375,0.3125,0.125
"42","M639152","0001","Absent","No","Lazy","Hot dogs visible",0.416666666666667,0.583333333333333,0.333333333333333,0.25,0.25,0.166666666666667
"43","M639152","0111","Absent","Yes","Sporty","Hot dogs visible",0.411764705882353,0.588235294117647,0.352941176470588,0.235294117647059,0.235294117647059,0.176470588235294
"44","M639152","0000","Absent","No","Lazy","Pizza visible",0.642857142857143,0.5,0.285714285714286,0.214285714285714,0.0714285714285714,0.428571428571429
"45","M639152","1110","Hot dogs","Yes","Sporty","Pizza visible",0.565217391304348,0.565217391304348,0.260869565217391,0.304347826086957,0.173913043478261,0.260869565217391
"46","M639152","1011","Hot dogs","No","Sporty","Hot dogs visible",0.375,0.5,0.3125,0.1875,0.3125,0.1875
"47","M639152","1010","Hot dogs","No","Sporty","Pizza visible",0.5,0.428571428571429,0.285714285714286,0.142857142857143,0.214285714285714,0.357142857142857
"48","M639152","1101","Hot dogs","Yes","Lazy","Hot dogs visible",0.647058823529412,0.529411764705882,0.235294117647059,0.294117647058824,0.117647058823529,0.352941176470588
"49","M196741","1111","Hot dogs","Yes","Sporty","Hot dogs visible",0.666666666666667,0.833333333333333,0.25,0.583333333333333,0.0833333333333333,0.0833333333333333
"50","M196741","1010","Hot dogs","No","Sporty","Pizza visible",0.571428571428571,0.857142857142857,0.357142857142857,0.5,0.0714285714285714,0.0714285714285714
"51","M196741","1110","Hot dogs","Yes","Sporty","Pizza visible",0.615384615384615,0.846153846153846,0.307692307692308,0.538461538461538,0.0769230769230769,0.0769230769230769
"52","M196741","1101","Hot dogs","Yes","Lazy","Hot dogs visible",0.2,0.8,0.7,0.1,0.1,0.1
"53","M196741","0000","Absent","No","Lazy","Pizza visible",0.181818181818182,0.272727272727273,0.181818181818182,0.0909090909090909,0.636363636363636,0.0909090909090909
"54","M196741","0100","Absent","Yes","Lazy","Pizza visible",0.166666666666667,0.333333333333333,0.25,0.0833333333333333,0.583333333333333,0.0833333333333333
"55","M196741","1100","Hot dogs","Yes","Lazy","Pizza visible",0.166666666666667,0.666666666666667,0.583333333333333,0.0833333333333333,0.25,0.0833333333333333
"56","M196741","0111","Absent","Yes","Sporty","Hot dogs visible",0.736842105263158,0.421052631578947,0.0526315789473684,0.368421052631579,0.210526315789474,0.368421052631579
"57","M196741","0101","Absent","Yes","Lazy","Hot dogs visible",0.153846153846154,0.615384615384615,0.538461538461538,0.0769230769230769,0.307692307692308,0.0769230769230769
"58","M196741","0001","Absent","No","Lazy","Hot dogs visible",0.153846153846154,0.615384615384615,0.538461538461538,0.0769230769230769,0.307692307692308,0.0769230769230769
"59","M196741","1001","Hot dogs","No","Lazy","Hot dogs visible",0.181818181818182,0.727272727272727,0.636363636363636,0.0909090909090909,0.181818181818182,0.0909090909090909
"60","M196741","0011","Absent","No","Sporty","Hot dogs visible",0.736842105263158,0.421052631578947,0.0526315789473684,0.368421052631579,0.210526315789474,0.368421052631579
"61","M196741","1000","Hot dogs","No","Lazy","Pizza visible",0.142857142857143,0.571428571428571,0.5,0.0714285714285714,0.357142857142857,0.0714285714285714
"62","M196741","0110","Absent","Yes","Sporty","Pizza visible",0.764705882352941,0.529411764705882,0.176470588235294,0.352941176470588,0.0588235294117647,0.411764705882353
"63","M196741","1011","Hot dogs","No","Sporty","Hot dogs visible",0.615384615384615,0.769230769230769,0.230769230769231,0.538461538461538,0.153846153846154,0.0769230769230769
"64","M196741","0010","Absent","No","Sporty","Pizza visible",0.736842105263158,0.578947368421053,0.210526315789474,0.368421052631579,0.0526315789473684,0.368421052631579
"65","M022498","0100","Absent","Yes","Lazy","Pizza visible",0.166666666666667,0.333333333333333,0.25,0.0833333333333333,0.583333333333333,0.0833333333333333
"66","M022498","0001","Absent","No","Lazy","Hot dogs visible",0.277777777777778,0.444444444444444,0.388888888888889,0.0555555555555556,0.333333333333333,0.222222222222222
"67","M022498","1110","Hot dogs","Yes","Sporty","Pizza visible",0.357142857142857,0.714285714285714,0.428571428571429,0.285714285714286,0.214285714285714,0.0714285714285714
"68","M022498","0110","Absent","Yes","Sporty","Pizza visible",0.411764705882353,0.470588235294118,0.294117647058824,0.176470588235294,0.294117647058824,0.235294117647059
"69","M022498","0101","Absent","Yes","Lazy","Hot dogs visible",0.214285714285714,0.5,0.428571428571429,0.0714285714285714,0.357142857142857,0.142857142857143
"70","M022498","1101","Hot dogs","Yes","Lazy","Hot dogs visible",0.3125,0.4375,0.375,0.0625,0.3125,0.25
"71","M022498","1011","Hot dogs","No","Sporty","Hot dogs visible",0.2,0.533333333333333,0.466666666666667,0.0666666666666667,0.333333333333333,0.133333333333333
"72","M022498","1001","Hot dogs","No","Lazy","Hot dogs visible",0.235294117647059,0.470588235294118,0.411764705882353,0.0588235294117647,0.352941176470588,0.176470588235294
"73","M022498","0011","Absent","No","Sporty","Hot dogs visible",0.230769230769231,0.538461538461539,0.461538461538462,0.0769230769230769,0.307692307692308,0.153846153846154
"74","M022498","1111","Hot dogs","Yes","Sporty","Hot dogs visible",0.230769230769231,0.538461538461539,0.461538461538462,0.0769230769230769,0.307692307692308,0.153846153846154
"75","M022498","0000","Absent","No","Lazy","Pizza visible",0.214285714285714,0.428571428571429,0.285714285714286,0.142857142857143,0.5,0.0714285714285714
"76","M022498","0010","Absent","No","Sporty","Pizza visible",0.230769230769231,0.461538461538462,0.307692307692308,0.153846153846154,0.461538461538462,0.0769230769230769
"77","M022498","1100","Hot dogs","Yes","Lazy","Pizza visible",0.333333333333333,0.733333333333333,0.466666666666667,0.266666666666667,0.2,0.0666666666666667
"78","M022498","0111","Absent","Yes","Sporty","Hot dogs visible",0.333333333333333,0.466666666666667,0.4,0.0666666666666667,0.266666666666667,0.266666666666667
"79","M022498","1000","Hot dogs","No","Lazy","Pizza visible",0.142857142857143,0.428571428571429,0.357142857142857,0.0714285714285714,0.5,0.0714285714285714
"80","M022498","1010","Hot dogs","No","Sporty","Pizza visible",0.307692307692308,0.615384615384615,0.384615384615385,0.230769230769231,0.307692307692308,0.0769230769230769
"81","M817003","1011","Hot dogs","No","Sporty","Hot dogs visible",0.166666666666667,0.666666666666667,0.583333333333333,0.0833333333333333,0.25,0.0833333333333333
"82","M817003","0011","Absent","No","Sporty","Hot dogs visible",0.153846153846154,0.615384615384615,0.538461538461538,0.0769230769230769,0.307692307692308,0.0769230769230769
"83","M817003","0111","Absent","Yes","Sporty","Hot dogs visible",0.25,0.5625,0.4375,0.125,0.3125,0.125
"84","M817003","1100","Hot dogs","Yes","Lazy","Pizza visible",0.142857142857143,0.571428571428571,0.5,0.0714285714285714,0.357142857142857,0.0714285714285714
"85","M817003","0000","Absent","No","Lazy","Pizza visible",0.166666666666667,0.333333333333333,0.25,0.0833333333333333,0.583333333333333,0.0833333333333333
"86","M817003","1000","Hot dogs","No","Lazy","Pizza visible",0.266666666666667,0.533333333333333,0.333333333333333,0.2,0.4,0.0666666666666667
"87","M817003","0110","Absent","Yes","Sporty","Pizza visible",0.214285714285714,0.428571428571429,0.285714285714286,0.142857142857143,0.5,0.0714285714285714
"88","M817003","0100","Absent","Yes","Lazy","Pizza visible",0.153846153846154,0.384615384615385,0.307692307692308,0.0769230769230769,0.538461538461538,0.0769230769230769
"89","M817003","0101","Absent","Yes","Lazy","Hot dogs visible",0.153846153846154,0.538461538461539,0.461538461538462,0.0769230769230769,0.384615384615385,0.0769230769230769
"90","M817003","1110","Hot dogs","Yes","Sporty","Pizza visible",0.5,0.4,0,0.4,0.5,0.1
"91","M817003","0010","Absent","No","Sporty","Pizza visible",0.25,0.4375,0.3125,0.125,0.4375,0.125
"92","M817003","0001","Absent","No","Lazy","Hot dogs visible",0.153846153846154,0.615384615384615,0.538461538461538,0.0769230769230769,0.307692307692308,0.0769230769230769
"93","M817003","1111","Hot dogs","Yes","Sporty","Hot dogs visible",0.266666666666667,0.666666666666667,0.466666666666667,0.2,0.266666666666667,0.0666666666666667
"94","M817003","1101","Hot dogs","Yes","Lazy","Hot dogs visible",0.25,0.75,0.583333333333333,0.166666666666667,0.166666666666667,0.0833333333333333
"95","M817003","1001","Hot dogs","No","Lazy","Hot dogs visible",0.181818181818182,0.727272727272727,0.636363636363636,0.0909090909090909,0.181818181818182,0.0909090909090909
"96","M817003","1010","Hot dogs","No","Sporty","Pizza visible",0.294117647058824,0.529411764705882,0.294117647058824,0.235294117647059,0.411764705882353,0.0588235294117647
"97","M315945","0010","Absent","No","Sporty","Pizza visible",0.434782608695652,0.391304347826087,0.260869565217391,0.130434782608696,0.304347826086957,0.304347826086957
"98","M315945","1111","Hot dogs","Yes","Sporty","Hot dogs visible",0.521739130434783,0.608695652173913,0.304347826086957,0.304347826086957,0.173913043478261,0.217391304347826
"99","M315945","1000","Hot dogs","No","Lazy","Pizza visible",0.5,0.583333333333333,0.291666666666667,0.291666666666667,0.208333333333333,0.208333333333333
"100","M315945","0101","Absent","Yes","Lazy","Hot dogs visible",0.478260869565217,0.608695652173913,0.304347826086957,0.304347826086957,0.217391304347826,0.173913043478261
"101","M315945","1110","Hot dogs","Yes","Sporty","Pizza visible",0.75,0.4375,0,0.4375,0.25,0.3125
"102","M315945","0111","Absent","Yes","Sporty","Hot dogs visible",0.523809523809524,0.619047619047619,0.333333333333333,0.285714285714286,0.142857142857143,0.238095238095238
"103","M315945","1010","Hot dogs","No","Sporty","Pizza visible",0.571428571428571,0.619047619047619,0.285714285714286,0.333333333333333,0.142857142857143,0.238095238095238
"104","M315945","1101","Hot dogs","Yes","Lazy","Hot dogs visible",0.526315789473684,0.736842105263158,0.368421052631579,0.368421052631579,0.105263157894737,0.157894736842105
"105","M315945","0100","Absent","Yes","Lazy","Pizza visible",0.5,0.722222222222222,0.333333333333333,0.388888888888889,0.166666666666667,0.111111111111111
"106","M315945","0011","Absent","No","Sporty","Hot dogs visible",0.545454545454545,0.636363636363636,0.318181818181818,0.318181818181818,0.136363636363636,0.227272727272727
"107","M315945","0001","Absent","No","Lazy","Hot dogs visible",0.454545454545455,0.636363636363636,0.318181818181818,0.318181818181818,0.227272727272727,0.136363636363636
"108","M315945","1011","Hot dogs","No","Sporty","Hot dogs visible",0.5,0.7,0.35,0.35,0.15,0.15
"109","M315945","1100","Hot dogs","Yes","Lazy","Pizza visible",0.545454545454545,0.636363636363636,0.318181818181818,0.318181818181818,0.136363636363636,0.227272727272727
"110","M315945","1001","Hot dogs","No","Lazy","Hot dogs visible",0.357142857142857,0.5,0.285714285714286,0.214285714285714,0.357142857142857,0.142857142857143
"111","M315945","0110","Absent","Yes","Sporty","Pizza visible",0.666666666666667,0.466666666666667,0.2,0.266666666666667,0.133333333333333,0.4
"112","M315945","0000","Absent","No","Lazy","Pizza visible",0.294117647058824,0.470588235294118,0.294117647058824,0.176470588235294,0.411764705882353,0.117647058823529
"113","M106707","0111","Absent","Yes","Sporty","Hot dogs visible",0.375,0.5,0.3125,0.1875,0.3125,0.1875
"114","M106707","0100","Absent","Yes","Lazy","Pizza visible",0.333333333333333,0.333333333333333,0.166666666666667,0.166666666666667,0.5,0.166666666666667
"115","M106707","0000","Absent","No","Lazy","Pizza visible",0.307692307692308,0.384615384615385,0.230769230769231,0.153846153846154,0.461538461538462,0.153846153846154
"116","M106707","1111","Hot dogs","Yes","Sporty","Hot dogs visible",0.181818181818182,0.727272727272727,0.636363636363636,0.0909090909090909,0.181818181818182,0.0909090909090909
"117","M106707","0010","Absent","No","Sporty","Pizza visible",0.538461538461539,0.538461538461539,0.230769230769231,0.307692307692308,0.230769230769231,0.230769230769231
"118","M106707","1001","Hot dogs","No","Lazy","Hot dogs visible",0.461538461538462,0.846153846153846,0.461538461538462,0.384615384615385,0.0769230769230769,0.0769230769230769
"119","M106707","0011","Absent","No","Sporty","Hot dogs visible",0.470588235294118,0.529411764705882,0.294117647058824,0.235294117647059,0.235294117647059,0.235294117647059
"120","M106707","0101","Absent","Yes","Lazy","Hot dogs visible",0.307692307692308,0.615384615384615,0.461538461538462,0.153846153846154,0.230769230769231,0.153846153846154
"121","M106707","1000","Hot dogs","No","Lazy","Pizza visible",0.363636363636364,0.727272727272727,0.454545454545455,0.272727272727273,0.181818181818182,0.0909090909090909
"122","M106707","1110","Hot dogs","Yes","Sporty","Pizza visible",0.384615384615385,0.692307692307692,0.461538461538462,0.230769230769231,0.153846153846154,0.153846153846154
"123","M106707","1101","Hot dogs","Yes","Lazy","Hot dogs visible",0.272727272727273,0.727272727272727,0.545454545454545,0.181818181818182,0.181818181818182,0.0909090909090909
"124","M106707","0001","Absent","No","Lazy","Hot dogs visible",0.461538461538462,0.538461538461539,0.307692307692308,0.230769230769231,0.230769230769231,0.230769230769231
"125","M106707","1011","Hot dogs","No","Sporty","Hot dogs visible",0.384615384615385,0.692307692307692,0.461538461538462,0.230769230769231,0.153846153846154,0.153846153846154
"126","M106707","1100","Hot dogs","Yes","Lazy","Pizza visible",0.272727272727273,0.727272727272727,0.545454545454545,0.181818181818182,0.181818181818182,0.0909090909090909
"127","M106707","1010","Hot dogs","No","Sporty","Pizza visible",0.272727272727273,0.727272727272727,0.545454545454545,0.181818181818182,0.181818181818182,0.0909090909090909
"128","M106707","0110","Absent","Yes","Sporty","Pizza visible",0.285714285714286,0.5,0.357142857142857,0.142857142857143,0.357142857142857,0.142857142857143
"129","M928115","1110","Hot dogs","Yes","Sporty","Pizza visible",0.4,0.3,0.25,0.05,0.35,0.35
"130","M928115","0111","Absent","Yes","Sporty","Hot dogs visible",0.588235294117647,0.470588235294118,0.176470588235294,0.294117647058824,0.235294117647059,0.294117647058824
"131","M928115","0000","Absent","No","Lazy","Pizza visible",0.5,0.5,0.125,0.375,0.375,0.125
"132","M928115","0010","Absent","No","Sporty","Pizza visible",0.48,0.52,0.28,0.24,0.24,0.24
"133","M928115","1010","Hot dogs","No","Sporty","Pizza visible",0.48,0.44,0.24,0.2,0.28,0.28
"134","M928115","0011","Absent","No","Sporty","Hot dogs visible",0.5,0.5,0.25,0.25,0.25,0.25
"135","M928115","1000","Hot dogs","No","Lazy","Pizza visible",0.714285714285714,0.571428571428571,0.142857142857143,0.428571428571429,0.142857142857143,0.285714285714286
"136","M928115","1111","Hot dogs","Yes","Sporty","Hot dogs visible",0.538461538461538,0.461538461538462,0.192307692307692,0.269230769230769,0.269230769230769,0.269230769230769
"137","M928115","1001","Hot dogs","No","Lazy","Hot dogs visible",0.571428571428571,0.571428571428571,0.142857142857143,0.428571428571429,0.285714285714286,0.142857142857143
"138","M928115","0100","Absent","Yes","Lazy","Pizza visible",0.666666666666667,0.555555555555556,0.222222222222222,0.333333333333333,0.111111111111111,0.333333333333333
"139","M928115","1011","Hot dogs","No","Sporty","Hot dogs visible",0.5,0.590909090909091,0.318181818181818,0.272727272727273,0.181818181818182,0.227272727272727
"140","M928115","1100","Hot dogs","Yes","Lazy","Pizza visible",0.625,0.625,0.25,0.375,0.125,0.25
"141","M928115","0001","Absent","No","Lazy","Hot dogs visible",0.666666666666667,0.444444444444444,0.111111111111111,0.333333333333333,0.222222222222222,0.333333333333333
"142","M928115","1101","Hot dogs","Yes","Lazy","Hot dogs visible",0.666666666666667,0.444444444444444,0.111111111111111,0.333333333333333,0.222222222222222,0.333333333333333
"143","M928115","0101","Absent","Yes","Lazy","Hot dogs visible",0.666666666666667,0.444444444444444,0.111111111111111,0.333333333333333,0.222222222222222,0.333333333333333
"144","M928115","0110","Absent","Yes","Sporty","Pizza visible",0.481481481481481,0.518518518518518,0.259259259259259,0.259259259259259,0.259259259259259,0.222222222222222
"145","M013435","0100","Absent","Yes","Lazy","Pizza visible",0.25,0.4375,0.3125,0.125,0.4375,0.125
"146","M013435","1110","Hot dogs","Yes","Sporty","Pizza visible",0.705882352941177,0.588235294117647,0.235294117647059,0.352941176470588,0.0588235294117647,0.352941176470588
"147","M013435","1100","Hot dogs","Yes","Lazy","Pizza visible",0.285714285714286,0.642857142857143,0.428571428571429,0.214285714285714,0.285714285714286,0.0714285714285714
"148","M013435","0110","Absent","Yes","Sporty","Pizza visible",0.5,0.5,0.25,0.25,0.25,0.25
"149","M013435","0101","Absent","Yes","Lazy","Hot dogs visible",0.285714285714286,0.5,0.357142857142857,0.142857142857143,0.357142857142857,0.142857142857143
"150","M013435","0011","Absent","No","Sporty","Hot dogs visible",0.5,0.5,0.25,0.25,0.25,0.25
"151","M013435","1111","Hot dogs","Yes","Sporty","Hot dogs visible",0.5,0.857142857142857,0.428571428571429,0.428571428571429,0.0714285714285714,0.0714285714285714
"152","M013435","1011","Hot dogs","No","Sporty","Hot dogs visible",0.411764705882353,0.705882352941177,0.352941176470588,0.352941176470588,0.235294117647059,0.0588235294117647
"153","M013435","1010","Hot dogs","No","Sporty","Pizza visible",0.555555555555556,0.555555555555556,0.277777777777778,0.277777777777778,0.166666666666667,0.277777777777778
"154","M013435","1000","Hot dogs","No","Lazy","Pizza visible",0.375,0.6875,0.375,0.3125,0.25,0.0625
"155","M013435","1001","Hot dogs","No","Lazy","Hot dogs visible",0.3125,0.625,0.375,0.25,0.3125,0.0625
"156","M013435","0010","Absent","No","Sporty","Pizza visible",0.5,0.5,0.25,0.25,0.25,0.25
"157","M013435","0000","Absent","No","Lazy","Pizza visible",0.411764705882353,0.588235294117647,0.294117647058824,0.294117647058824,0.294117647058824,0.117647058823529
"158","M013435","1101","Hot dogs","Yes","Lazy","Hot dogs visible",0.222222222222222,0.777777777777778,0.666666666666667,0.111111111111111,0.111111111111111,0.111111111111111
"159","M013435","0111","Absent","Yes","Sporty","Hot dogs visible",0.5,0.5,0.25,0.25,0.25,0.25
"160","M013435","0001","Absent","No","Lazy","Hot dogs visible",0.5,0.5,0.25,0.25,0.25,0.25
"161","M072562","1011","Hot dogs","No","Sporty","Hot dogs visible",0.272727272727273,0.818181818181818,0.636363636363636,0.181818181818182,0.0909090909090909,0.0909090909090909
"162","M072562","0000","Absent","No","Lazy","Pizza visible",0.181818181818182,0.272727272727273,0.181818181818182,0.0909090909090909,0.636363636363636,0.0909090909090909
"163","M072562","0101","Absent","Yes","Lazy","Hot dogs visible",0.153846153846154,0.615384615384615,0.538461538461538,0.0769230769230769,0.307692307692308,0.0769230769230769
"164","M072562","0011","Absent","No","Sporty","Hot dogs visible",0.5,0.5,0.285714285714286,0.214285714285714,0.214285714285714,0.285714285714286
"165","M072562","1101","Hot dogs","Yes","Lazy","Hot dogs visible",0.181818181818182,0.727272727272727,0.636363636363636,0.0909090909090909,0.181818181818182,0.0909090909090909
"166","M072562","1001","Hot dogs","No","Lazy","Hot dogs visible",0.2,0.8,0.7,0.1,0.1,0.1
"167","M072562","0100","Absent","Yes","Lazy","Pizza visible",0.166666666666667,0.333333333333333,0.25,0.0833333333333333,0.583333333333333,0.0833333333333333
"168","M072562","1100","Hot dogs","Yes","Lazy","Pizza visible",0.166666666666667,0.666666666666667,0.583333333333333,0.0833333333333333,0.25,0.0833333333333333
"169","M072562","1010","Hot dogs","No","Sporty","Pizza visible",0.454545454545455,0.727272727272727,0.363636363636364,0.363636363636364,0.181818181818182,0.0909090909090909
"170","M072562","1000","Hot dogs","No","Lazy","Pizza visible",0.25,0.583333333333333,0.416666666666667,0.166666666666667,0.333333333333333,0.0833333333333333
"171","M072562","0001","Absent","No","Lazy","Hot dogs visible",0.166666666666667,0.666666666666667,0.583333333333333,0.0833333333333333,0.25,0.0833333333333333
"172","M072562","1111","Hot dogs","Yes","Sporty","Hot dogs visible",0.384615384615385,0.769230769230769,0.538461538461538,0.230769230769231,0.0769230769230769,0.153846153846154
"173","M072562","0010","Absent","No","Sporty","Pizza visible",0.538461538461539,0.538461538461539,0.230769230769231,0.307692307692308,0.230769230769231,0.230769230769231
"174","M072562","0111","Absent","Yes","Sporty","Hot dogs visible",0.428571428571429,0.5,0.285714285714286,0.214285714285714,0.285714285714286,0.214285714285714
"175","M072562","1110","Hot dogs","Yes","Sporty","Pizza visible",0.538461538461539,0.846153846153846,0.384615384615385,0.461538461538462,0.0769230769230769,0.0769230769230769
"176","M072562","0110","Absent","Yes","Sporty","Pizza visible",0.615384615384615,0.538461538461539,0.230769230769231,0.307692307692308,0.153846153846154,0.307692307692308
"177","M089254","1101","Hot dogs","Yes","Lazy","Hot dogs visible",0.25,0.666666666666667,0.5,0.166666666666667,0.25,0.0833333333333333
"178","M089254","0011","Absent","No","Sporty","Hot dogs visible",0.529411764705882,0.529411764705882,0.235294117647059,0.294117647058824,0.235294117647059,0.235294117647059
"179","M089254","0100","Absent","Yes","Lazy","Pizza visible",0.166666666666667,0.333333333333333,0.25,0.0833333333333333,0.583333333333333,0.0833333333333333
"180","M089254","1010","Hot dogs","No","Sporty","Pizza visible",0.444444444444444,0.611111111111111,0.333333333333333,0.277777777777778,0.222222222222222,0.166666666666667
"181","M089254","1110","Hot dogs","Yes","Sporty","Pizza visible",0.578947368421053,0.578947368421053,0.263157894736842,0.315789473684211,0.157894736842105,0.263157894736842
"182","M089254","0000","Absent","No","Lazy","Pizza visible",0.142857142857143,0.428571428571429,0.357142857142857,0.0714285714285714,0.5,0.0714285714285714
"183","M089254","0110","Absent","Yes","Sporty","Pizza visible",0.611111111111111,0.555555555555556,0.277777777777778,0.277777777777778,0.111111111111111,0.333333333333333
"184","M089254","1011","Hot dogs","No","Sporty","Hot dogs visible",0.647058823529412,0.529411764705882,0.176470588235294,0.352941176470588,0.176470588235294,0.294117647058824
"185","M089254","1100","Hot dogs","Yes","Lazy","Pizza visible",0.166666666666667,0.5,0.416666666666667,0.0833333333333333,0.416666666666667,0.0833333333333333
