"","P","Pu","K","Ku","C","Cu","S","Su","br","PKu","PCu","PSu","KCu","KSu","CSu","PK","PC","PS","KC","KS","CS","sem","prior","condition","u_set","posterior","node","ces","node3"
"40",0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,FALSE,3.28204045956322e-05,"c00000",13,5.83150674466933e-05,"Cu",0.00536651442126315,"Cu=0"
"41",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,FALSE,3.58446460338155e-05,"c00000",5,6.36885186766702e-05,"Cu",-0.0039917711748809,"Cu=0"
"42",0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,FALSE,1.32729821406096e-05,"c00000",13,2.35833426883291e-05,"Cu",-0.0029918575831945,"Cu=0"
"43",0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,FALSE,5.47538296048177e-05,"c00000",5,9.72862250087746e-05,"Cu",-0.00730026613243668,"Cu=0"
"44",0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,FALSE,2.02748996820647e-05,"c00000",13,3.60243012541012e-05,"Cu",0.00332152851098419,"Cu=0"
"45",0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,FALSE,7.21904221826888e-05,"c00000",5,0.000128267441869044,"Cu",-0.000264134931330355,"Cu=0"
"46",0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,FALSE,2.6731528704453e-05,"c00000",13,4.74963949579358e-05,"Cu",-0.00202533541623431,"Cu=0"
"47",0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,FALSE,0.000110273151297459,"c00000",5,0.000195932571054487,"Cu",-0.00272291802797128,"Cu=0"
"48",0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,FALSE,4.08332548849588e-05,"c00000",13,7.25522443133222e-05,"Cu",0.000372351433237905,"Cu=0"
"49",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,FALSE,0.000100346435209939,"c00000",5,0.000178294850700336,"Cu",-0.00110251013708079,"Cu=0"
