"","P","Pu","K","Ku","C","Cu","S","Su","br","sem","prior","uprior","condition","posterior"
"71",0,1,1,0,0,0,1,0,0,FALSE,1.95787845672427e-11,3.13260553075884e-10,"c01010",6.53559321422203e-10
"72",1,1,1,0,0,0,1,0,0,TRUE,1.95787845672427e-11,3.13260553075884e-10,"c11011",5.18125393258957e-10
"73",0,0,0,1,0,0,1,0,0,FALSE,1.18063381429017e-14,1.88901410286428e-13,"c00010",3.94056888767716e-13
"74",1,0,0,1,0,0,1,0,0,FALSE,1.18063381429017e-14,1.88901410286428e-13,"c10010",4.77691011637935e-13
"75",0,1,0,1,0,0,1,0,0,FALSE,2.50576189133152e-15,4.00921902613044e-14,"c00010",8.36341228702198e-14
"76",1,1,0,1,0,0,1,0,0,TRUE,2.50576189133152e-15,4.00921902613044e-14,"c10011",6.63170655559447e-14
"77",0,0,1,1,0,0,1,0,0,TRUE,1.18063381429017e-14,1.88901410286428e-13,"c01011",3.6279378301144e-13
"78",1,0,1,1,0,0,1,0,0,TRUE,1.18063381429017e-14,1.88901410286428e-13,"c11011",3.12438372884179e-13
"79",0,1,1,1,0,0,1,0,0,TRUE,2.50576189133152e-15,4.00921902613044e-14,"c01011",7.69988818614875e-14
"80",1,1,1,1,0,0,1,0,0,TRUE,2.50576189133152e-15,4.00921902613044e-14,"c11011",6.63115149411081e-14
"81",0,0,0,0,1,0,1,0,0,FALSE,9.22488891811912e-11,1.47598222689906e-09,"c00110",3.07896570664235e-09
"82",1,0,0,0,1,0,1,0,0,FALSE,9.22488891811912e-11,1.47598222689906e-09,"c10110",3.73244139394169e-09
"83",0,1,0,0,1,0,1,0,0,FALSE,1.95787845672427e-11,3.13260553075884e-10,"c00110",6.53475687299333e-10
"84",1,1,0,0,1,0,1,0,0,TRUE,1.95787845672427e-11,3.13260553075884e-10,"c10111",5.1816876301906e-10
"85",0,0,1,0,1,0,1,0,0,FALSE,9.22488891811912e-11,1.47598222689906e-09,"c01110",3.07935976353112e-09
"86",1,0,1,0,1,0,1,0,0,FALSE,9.22488891811912e-11,1.47598222689906e-09,"c11110",3.73291908495332e-09
"87",0,1,1,0,1,0,1,0,0,FALSE,1.95787845672427e-11,3.13260553075884e-10,"c01110",6.53559321422203e-10
"88",1,1,1,0,1,0,1,0,0,TRUE,1.95787845672427e-11,3.13260553075884e-10,"c11111",5.18125393258957e-10
"89",0,0,0,1,1,0,1,0,0,FALSE,1.18063381429017e-14,1.88901410286428e-13,"c00110",3.94056888767716e-13
"90",1,0,0,1,1,0,1,0,0,FALSE,1.18063381429017e-14,1.88901410286428e-13,"c10110",4.77691011637935e-13
"91",0,1,0,1,1,0,1,0,0,FALSE,2.50576189133152e-15,4.00921902613044e-14,"c00110",8.36341228702198e-14
"92",1,1,0,1,1,0,1,0,0,TRUE,2.50576189133152e-15,4.00921902613044e-14,"c10111",6.63170655559447e-14
