"","P","Pu","K","Ku","C","Cu","S","Su","br","sem","prior","condition","posterior","node","ces","node3","uvars","uvars_id","s_hat"
"22",0,1,0,0,0,0,0,0,0,FALSE,0.0276860529446664,"c00000",0.442980537804344,"Ku",0.354338244575406,"Ku=0","10000",17,0.4573661730426
"23",0,1,0,0,0,0,0,0,0,FALSE,0.0276860529446664,"c00000",0.442980537804344,"C",-0.0113940210259023,"C=0","10000",17,0.011800733233474
"24",0,1,0,0,0,0,0,0,0,FALSE,0.0276860529446664,"c00000",0.442980537804344,"Cu",-0.0186616839872474,"Cu=0","10000",17,0.0109735193462633
"25",0,1,0,0,0,0,0,0,0,FALSE,0.0276860529446664,"c00000",0.442980537804344,"S",0,"S=0","10000",17,0.0132249061092575
"26",0,1,0,0,0,0,0,0,0,FALSE,0.0276860529446664,"c00000",0.442980537804344,"Su",-0.00211103532670399,"Su=0","10000",17,0.0129486498621732
"27",0,1,0,0,0,0,0,0,0,FALSE,0.0276860529446664,"c00000",0.442980537804344,"br",0,"br=0","10000",17,0.0132249061092575
"28",1,1,0,0,0,0,0,0,0,FALSE,0.0276860529446664,"c10000",0.442980537804344,"P",0.000273923811237504,"P=1","10000",17,0.0134711480342586
"29",1,1,0,0,0,0,0,0,0,FALSE,0.0276860529446664,"c10000",0.442980537804344,"Pu",-0.0017283791776807,"Pu=1","10000",17,0.0132040973386991
"30",1,1,0,0,0,0,0,0,0,FALSE,0.0276860529446664,"c10000",0.442980537804344,"K",0.352630311235625,"K=0","10000",17,0.456739903538052
"31",1,1,0,0,0,0,0,0,0,FALSE,0.0276860529446664,"c10000",0.442980537804344,"Ku",0.351842547805559,"Ku=0","10000",17,0.453156008448736
"32",1,1,0,0,0,0,0,0,0,FALSE,0.0276860529446664,"c10000",0.442980537804344,"C",-0.0188036724334641,"C=0","10000",17,0.0111314479739366
"33",1,1,0,0,0,0,0,0,0,FALSE,0.0276860529446664,"c10000",0.442980537804344,"Cu",-0.00992177252878946,"Cu=0","10000",17,0.0121653683146625
"34",1,1,0,0,0,0,0,0,0,FALSE,0.0276860529446664,"c10000",0.442980537804344,"S",0,"S=0","10000",17,0.0134342978459078
"35",1,1,0,0,0,0,0,0,0,FALSE,0.0276860529446664,"c10000",0.442980537804344,"Su",-0.0012800303894231,"Su=0","10000",17,0.0132634306598392
"36",1,1,0,0,0,0,0,0,0,FALSE,0.0276860529446664,"c10000",0.442980537804344,"br",0,"br=0","10000",17,0.0134342978459078
"37",0,0,1,0,0,0,0,0,0,FALSE,1.82207395284679e-09,"c01000",5.6190581884842e-08,"P",0.00121178233320028,"P=0","00000",1,0.000138493040778473
"38",0,0,1,0,0,0,0,0,0,FALSE,1.82207395284679e-09,"c01000",5.6190581884842e-08,"Pu",0.00190446942695436,"Pu=0","00000",1,0.000139455694437388
"39",0,0,1,0,0,0,0,0,0,FALSE,1.82207395284679e-09,"c01000",5.6190581884842e-08,"K",-0.159139191421887,"K=1","00000",1,2.78632980217157e-05
"40",0,0,1,0,0,0,0,0,0,FALSE,1.82207395284679e-09,"c01000",5.6190581884842e-08,"Ku",0.889590650413768,"Ku=0","00000",1,0.999098606618837
"41",0,0,1,0,0,0,0,0,0,FALSE,1.82207395284679e-09,"c01000",5.6190581884842e-08,"C",-0.0334333022127683,"C=0","00000",1,9.79413893420599e-05
"42",0,0,1,0,0,0,0,0,0,FALSE,1.82207395284679e-09,"c01000",5.6190581884842e-08,"Cu",-0.0384584825119849,"Cu=0","00000",1,9.31412752138076e-05
"43",0,0,1,0,0,0,0,0,0,FALSE,1.82207395284679e-09,"c01000",5.6190581884842e-08,"S",0,"S=0","00000",1,0.000136824933902067
"44",0,0,1,0,0,0,0,0,0,FALSE,1.82207395284679e-09,"c01000",5.6190581884842e-08,"Su",-0.00446596768603293,"Su=0","00000",1,0.000130848815565507
"45",0,0,1,0,0,0,0,0,0,FALSE,1.82207395284679e-09,"c01000",5.6190581884842e-08,"br",0,"br=0","00000",1,0.000136824933902067
"46",1,0,1,0,0,0,0,0,0,FALSE,1.82207395284679e-09,"c11000",5.6190581884842e-08,"P",-0.000457715448909722,"P=1","00000",1,0.000142822754017594
"47",1,0,1,0,0,0,0,0,0,FALSE,1.82207395284679e-09,"c11000",5.6190581884842e-08,"Pu",0.00719503471283562,"Pu=0","00000",1,0.000154181715980244
"48",1,0,1,0,0,0,0,0,0,FALSE,1.82207395284679e-09,"c11000",5.6190581884842e-08,"K",-0.156695600457403,"K=1","00000",1,2.99409027044706e-05
"49",1,0,1,0,0,0,0,0,0,FALSE,1.82207395284679e-09,"c11000",5.6190581884842e-08,"Ku",0.884835656083246,"Ku=0","00000",1,0.999028009118564
"50",1,0,1,0,0,0,0,0,0,FALSE,1.82207395284679e-09,"c11000",5.6190581884842e-08,"C",-0.0218110476101403,"C=0","00000",1,0.000115361543979675
"51",1,0,1,0,0,0,0,0,0,FALSE,1.82207395284679e-09,"c11000",5.6190581884842e-08,"Cu",-0.0436851712062994,"Cu=0","00000",1,9.26964171146926e-05
"52",1,0,1,0,0,0,0,0,0,FALSE,1.82207395284679e-09,"c11000",5.6190581884842e-08,"S",0,"S=0","00000",1,0.00014347797420538
"53",1,0,1,0,0,0,0,0,0,FALSE,1.82207395284679e-09,"c11000",5.6190581884842e-08,"Su",-0.00438771007394915,"Su=0","00000",1,0.000137318690554573
"54",1,0,1,0,0,0,0,0,0,FALSE,1.82207395284679e-09,"c11000",5.6190581884842e-08,"br",0.00848973338927651,"br=0","00000",1,0.000156190882879599
"55",0,1,1,0,0,0,0,0,0,FALSE,0.0276860529446664,"c01000",0.853804766060534,"P",-0.00484637455450893,"P=0","10000",17,0.0001318597605432
"56",0,1,1,0,0,0,0,0,0,FALSE,0.0276860529446664,"c01000",0.853804766060534,"Pu",-0.00151695300165522,"Pu=1","10000",17,0.000136323829301438
"57",0,1,1,0,0,0,0,0,0,FALSE,0.0276860529446664,"c01000",0.853804766060534,"K",-0.157915785794605,"K=1","10000",17,2.85325295837726e-05
"58",0,1,1,0,0,0,0,0,0,FALSE,0.0276860529446664,"c01000",0.853804766060534,"Ku",0.888439312920958,"Ku=0","10000",17,0.999085672733324
"59",0,1,1,0,0,0,0,0,0,FALSE,0.0276860529446664,"c01000",0.853804766060534,"C",-0.0223656831707526,"C=0","10000",17,0.000110669230984692
"60",0,1,1,0,0,0,0,0,0,FALSE,0.0276860529446664,"c01000",0.853804766060534,"Cu",-0.0382489233604983,"Cu=0","10000",17,9.44162737422235e-05
"61",0,1,1,0,0,0,0,0,0,FALSE,0.0276860529446664,"c01000",0.853804766060534,"S",0,"S=0","10000",17,0.000138407562389842
"62",0,1,1,0,0,0,0,0,0,FALSE,0.0276860529446664,"c01000",0.853804766060534,"Su",-0.00196786120983511,"Su=0","10000",17,0.000135710517740642
"63",0,1,1,0,0,0,0,0,0,FALSE,0.0276860529446664,"c01000",0.853804766060534,"br",0,"br=0","10000",17,0.000138407562389842
"64",1,1,1,0,0,0,0,0,0,FALSE,0.0276860529446664,"c11000",0.853804766060534,"P",0.00372170154432558,"P=1","10000",17,0.000141033177174202
"65",1,1,1,0,0,0,0,0,0,FALSE,0.0276860529446664,"c11000",0.853804766060534,"Pu",0.000589021791266164,"Pu=1","10000",17,0.000136683545119209
"66",1,1,1,0,0,0,0,0,0,FALSE,0.0276860529446664,"c11000",0.853804766060534,"K",-0.157138697740338,"K=1","10000",17,2.82301673111085e-05
"67",1,1,1,0,0,0,0,0,0,FALSE,0.0276860529446664,"c11000",0.853804766060534,"Ku",0.890282374353117,"Ku=0","10000",17,0.999091744644941
"68",1,1,1,0,0,0,0,0,0,FALSE,0.0276860529446664,"c11000",0.853804766060534,"C",-0.0253628387321289,"C=0","10000",17,0.000105440810656282
"69",1,1,1,0,0,0,0,0,0,FALSE,0.0276860529446664,"c11000",0.853804766060534,"Cu",-0.0379592686220746,"Cu=0","10000",17,9.29615029001767e-05
"70",1,1,1,0,0,0,0,0,0,FALSE,0.0276860529446664,"c11000",0.853804766060534,"S",0,"S=0","10000",17,0.000135880815699852
"71",1,1,1,0,0,0,0,0,0,FALSE,0.0276860529446664,"c11000",0.853804766060534,"Su",-0.00278819704308034,"Su=0","10000",17,0.000132144520498411
"72",1,1,1,0,0,0,0,0,0,FALSE,0.0276860529446664,"c11000",0.853804766060534,"br",0,"br=0","10000",17,0.000135880815699852
"73",0,0,0,1,0,0,0,0,0,FALSE,1.68980815548743e-09,"c00000",2.70371557476991e-08,"P",-0.00129066937267627,"P=0","01000",9,0.000139407417478943
"74",0,0,0,1,0,0,0,0,0,FALSE,1.68980815548743e-09,"c00000",2.70371557476991e-08,"Pu",0.00455726176620523,"Pu=0","01000",9,0.000147802957481132
"75",0,0,0,1,0,0,0,0,0,FALSE,1.68980815548743e-09,"c00000",2.70371557476991e-08,"K",0.886425060955305,"K=0","01000",9,0.999047905791402
"76",0,0,0,1,0,0,0,0,0,FALSE,1.68980815548743e-09,"c00000",2.70371557476991e-08,"Ku",-0.155796087598733,"Ku=1","01000",9,2.97356458966249e-05
"77",0,0,0,1,0,0,0,0,0,FALSE,1.68980815548743e-09,"c00000",2.70371557476991e-08,"C",-0.0236245134408085,"C=0","01000",9,0.000111504200882308
"78",0,0,0,1,0,0,0,0,0,FALSE,1.68980815548743e-09,"c00000",2.70371557476991e-08,"Cu",-0.0450228033465759,"Cu=0","01000",9,9.0024275992364e-05
"79",0,0,0,1,0,0,0,0,0,FALSE,1.68980815548743e-09,"c00000",2.70371557476991e-08,"S",0,"S=0","01000",9,0.000141218367871263
"80",0,0,0,1,0,0,0,0,0,FALSE,1.68980815548743e-09,"c00000",2.70371557476991e-08,"Su",-0.00189147685489374,"Su=0","01000",9,0.000138572358344766
"81",0,0,0,1,0,0,0,0,0,FALSE,1.68980815548743e-09,"c00000",2.70371557476991e-08,"br",0.00855340954054177,"br=0","01000",9,0.000153828984650097
"82",1,0,0,1,0,0,0,0,0,FALSE,1.68980815548743e-09,"c10000",2.70371557476991e-08,"P",0.000909961034002295,"P=1","01000",9,0.000140499225750476
"83",1,0,0,1,0,0,0,0,0,FALSE,1.68980815548743e-09,"c10000",2.70371557476991e-08,"Pu",0.0011676466177768,"Pu=0","01000",9,0.00014086173887198
"84",1,0,0,1,0,0,0,0,0,FALSE,1.68980815548743e-09,"c10000",2.70371557476991e-08,"K",0.887847784201321,"K=0","01000",9,0.999070084434471
"85",1,0,0,1,0,0,0,0,0,FALSE,1.68980815548743e-09,"c10000",2.70371557476991e-08,"Ku",-0.157586852206342,"Ku=1","01000",9,2.87959238944423e-05
"86",1,0,0,1,0,0,0,0,0,FALSE,1.68980815548743e-09,"c10000",2.70371557476991e-08,"C",-0.0223714437957031,"C=0","01000",9,0.000111317661539917
"87",1,0,0,1,0,0,0,0,0,FALSE,1.68980815548743e-09,"c10000",2.70371557476991e-08,"Cu",-0.0445270008216317,"Cu=0","01000",9,8.91956578446533e-05
"88",1,0,0,1,0,0,0,0,0,FALSE,1.68980815548743e-09,"c10000",2.70371557476991e-08,"S",0,"S=0","01000",9,0.000139226536811636
"89",1,0,0,1,0,0,0,0,0,FALSE,1.68980815548743e-09,"c10000",2.70371557476991e-08,"Su",0.00111832733731571,"Su=0","01000",9,0.000140792284004652
"90",1,0,0,1,0,0,0,0,0,FALSE,1.68980815548743e-09,"c10000",2.70371557476991e-08,"br",0,"br=0","01000",9,0.000139226536811636
"91",0,1,0,1,0,0,0,0,0,FALSE,0.025676300342288,"c00000",0.41082422825619,"P",0.001451532982481,"P=0","11000",25,0.000146496530645392
"92",0,1,0,1,0,0,0,0,0,FALSE,0.025676300342288,"c00000",0.41082422825619,"Pu",-0.00707478807184749,"Pu=1","11000",25,0.000134523450369244
"93",0,1,0,1,0,0,0,0,0,FALSE,0.025676300342288,"c00000",0.41082422825619,"K",0.884207470945438,"K=0","11000",25,0.999051018808312
"94",0,1,0,1,0,0,0,0,0,FALSE,0.025676300342288,"c00000",0.41082422825619,"Ku",-0.160024848135895,"Ku=1","11000",25,2.91436757947749e-05
"95",0,1,0,1,0,0,0,0,0,FALSE,0.025676300342288,"c00000",0.41082422825619,"C",-0.0283860712412652,"C=0","11000",25,0.000108703686102397
"96",0,1,0,1,0,0,0,0,0,FALSE,0.025676300342288,"c00000",0.41082422825619,"Cu",-0.0404942579147152,"Cu=0","11000",25,9.63072727349783e-05
"97",0,1,0,1,0,0,0,0,0,FALSE,0.025676300342288,"c00000",0.41082422825619,"S",0,"S=0","11000",25,0.000144385443811844
"98",0,1,0,1,0,0,0,0,0,FALSE,0.025676300342288,"c00000",0.41082422825619,"Su",0.000449342240316889,"Su=0","11000",25,0.000145035688417517
"99",0,1,0,1,0,0,0,0,0,FALSE,0.025676300342288,"c00000",0.41082422825619,"br",0,"br=0","11000",25,0.000144385443811844
"100",1,1,0,1,0,0,0,0,0,FALSE,0.025676300342288,"c10000",0.41082422825619,"P",0.000900126853363465,"P=1","11000",25,0.000138008755059309
"101",1,1,0,1,0,0,0,0,0,FALSE,0.025676300342288,"c10000",0.41082422825619,"Pu",0.000238697528931955,"Pu=1","11000",25,0.000137098936902067
"102",1,1,0,1,0,0,0,0,0,FALSE,0.025676300342288,"c10000",0.41082422825619,"K",0.88962774412862,"K=0","11000",25,0.999083160945863
"103",1,1,0,1,0,0,0,0,0,FALSE,0.025676300342288,"c10000",0.41082422825619,"Ku",-0.156049299489014,"Ku=1","11000",25,2.87265810228404e-05
"104",1,1,0,1,0,0,0,0,0,FALSE,0.025676300342288,"c10000",0.41082422825619,"C",-0.0223768172294986,"C=0","11000",25,0.000109349337084275
"105",1,1,0,1,0,0,0,0,0,FALSE,0.025676300342288,"c10000",0.41082422825619,"Cu",-0.0419388987393775,"Cu=0","11000",25,8.99205830009783e-05
"106",1,1,0,1,0,0,0,0,0,FALSE,0.025676300342288,"c10000",0.41082422825619,"S",0,"S=0","11000",25,0.000136772075387864
"107",1,1,0,1,0,0,0,0,0,FALSE,0.025676300342288,"c10000",0.41082422825619,"Su",0.00246878549349738,"Su=0","11000",25,0.000140190710291884
"108",1,1,0,1,0,0,0,0,0,FALSE,0.025676300342288,"c10000",0.41082422825619,"br",0,"br=0","11000",25,0.000136772075387864
"109",0,0,1,1,0,0,0,0,0,TRUE,1.68980815548743e-09,"c01001",5.61896089471258e-08,"P",-0.000723678223565914,"P=0","01000",9,0.000900860576491203
"110",0,0,1,1,0,0,0,0,0,TRUE,1.68980815548743e-09,"c01001",5.61896089471258e-08,"Pu",0.00373098380410406,"Pu=0","01000",9,0.000941898126571517
"111",0,0,1,1,0,0,0,0,0,TRUE,1.68980815548743e-09,"c01001",5.61896089471258e-08,"K",0.631372445403007,"K=1","01000",9,0.500975130356093
"112",0,0,1,1,0,0,0,0,0,TRUE,1.68980815548743e-09,"c01001",5.61896089471258e-08,"Ku",0.628591317761507,"Ku=1","01000",9,0.487234332748744
"113",0,0,1,1,0,0,0,0,0,TRUE,1.68980815548743e-09,"c01001",5.61896089471258e-08,"C",0.103066292132967,"C=0","01000",9,0.00254338259949029
"114",0,0,1,1,0,0,0,0,0,TRUE,1.68980815548743e-09,"c01001",5.61896089471258e-08,"Cu",0.163680197333624,"Cu=0","01000",9,0.0046628832461199
"115",0,0,1,1,0,0,0,0,0,TRUE,1.68980815548743e-09,"c01001",5.61896089471258e-08,"S",0,"S=0","01000",9,0.000907403554807406
"116",0,0,1,1,0,0,0,0,0,TRUE,1.68980815548743e-09,"c01001",5.61896089471258e-08,"Su",0.00410763282459906,"Su=0","01000",9,0.000945452466129922
"117",0,0,1,1,0,0,0,0,0,TRUE,1.68980815548743e-09,"c01001",5.61896089471258e-08,"br",-0.00208767094561747,"br=0","01000",9,0.000888656325553047
"118",1,0,1,1,0,0,0,0,0,TRUE,1.68980815548743e-09,"c11001",5.61896089471258e-08,"P",-0.000669107865877083,"P=1","01000",9,0.000915380827779954
"119",1,0,1,1,0,0,0,0,0,TRUE,1.68980815548743e-09,"c11001",5.61896089471258e-08,"Pu",-0.00250834665266777,"Pu=0","01000",9,0.000898698671163311
"120",1,0,1,1,0,0,0,0,0,TRUE,1.68980815548743e-09,"c11001",5.61896089471258e-08,"K",0.628828344307052,"K=1","01000",9,0.495991816033976
"121",1,0,1,1,0,0,0,0,0,TRUE,1.68980815548743e-09,"c11001",5.61896089471258e-08,"Ku",0.628040498943841,"Ku=1","01000",9,0.492099520278149
"122",1,0,1,1,0,0,0,0,0,TRUE,1.68980815548743e-09,"c11001",5.61896089471258e-08,"C",0.100670122893983,"C=0","01000",9,0.00252181079400702
"123",1,0,1,1,0,0,0,0,0,TRUE,1.68980815548743e-09,"c11001",5.61896089471258e-08,"Cu",0.164438125726219,"Cu=0","01000",9,0.00477148339508387
"124",1,0,1,1,0,0,0,0,0,TRUE,1.68980815548743e-09,"c11001",5.61896089471258e-08,"S",0,"S=0","01000",9,0.00092152624972437
"125",1,0,1,1,0,0,0,0,0,TRUE,1.68980815548743e-09,"c11001",5.61896089471258e-08,"Su",0.00390643974028869,"Su=0","01000",9,0.000958237500391723
"126",1,0,1,1,0,0,0,0,0,TRUE,1.68980815548743e-09,"c11001",5.61896089471258e-08,"br",0,"br=0","01000",9,0.00092152624972437
"127",0,1,1,1,0,0,0,0,0,TRUE,0.025676300342288,"c01001",0.853789982464578,"P",0.00412025319467624,"P=0","11000",25,0.00096965659778184
"128",0,1,1,1,0,0,0,0,0,TRUE,0.025676300342288,"c01001",0.853789982464578,"Pu",0.00307878873295325,"Pu=1","11000",25,0.000959610373647239
"129",0,1,1,1,0,0,0,0,0,TRUE,0.025676300342288,"c01001",0.853789982464578,"K",0.626887829008966,"K=1","11000",25,0.491205446573209
"130",0,1,1,1,0,0,0,0,0,TRUE,0.025676300342288,"c01001",0.853789982464578,"Ku",0.627968197565189,"Ku=1","11000",25,0.496541045936015
"131",0,1,1,1,0,0,0,0,0,TRUE,0.025676300342288,"c01001",0.853789982464578,"C",0.106585345250799,"C=0","11000",25,0.00270158227054093
"132",0,1,1,1,0,0,0,0,0,TRUE,0.025676300342288,"c01001",0.853789982464578,"Cu",0.163813881415512,"Cu=0","11000",25,0.00478804884475202
"133",0,1,1,1,0,0,0,0,0,TRUE,0.025676300342288,"c01001",0.853789982464578,"S",0,"S=0","11000",25,0.000930516170259831
"134",0,1,1,1,0,0,0,0,0,TRUE,0.025676300342288,"c01001",0.853789982464578,"Su",0.00650920627548184,"Su=0","11000",25,0.000993100151755572
"135",0,1,1,1,0,0,0,0,0,TRUE,0.025676300342288,"c01001",0.853789982464578,"br",-0.00212041505436294,"br=0","11000",25,0.000910993082038807
"136",1,1,1,1,0,0,0,0,0,TRUE,0.025676300342288,"c11001",0.853789982464578,"P",0.00118071338189214,"P=1","11000",25,0.000923473661541189
"137",1,1,1,1,0,0,0,0,0,TRUE,0.025676300342288,"c11001",0.853789982464578,"Pu",-0.00099694014785866,"Pu=1","11000",25,0.000903580987627088
"138",1,1,1,1,0,0,0,0,0,TRUE,0.025676300342288,"c11001",0.853789982464578,"K",0.628614646477188,"K=1","11000",25,0.490157285759951
"139",1,1,1,1,0,0,0,0,0,TRUE,0.025676300342288,"c11001",0.853789982464578,"Ku",0.630170172283883,"Ku=1","11000",25,0.49784141822412
"140",1,1,1,1,0,0,0,0,0,TRUE,0.025676300342288,"c11001",0.853789982464578,"C",0.103526643595189,"C=0","11000",25,0.00256984684083342
"141",1,1,1,1,0,0,0,0,0,TRUE,0.025676300342288,"c11001",0.853789982464578,"Cu",0.166088649030057,"Cu=0","11000",25,0.00480408384136831
"142",1,1,1,1,0,0,0,0,0,TRUE,0.025676300342288,"c11001",0.853789982464578,"S",0,"S=0","11000",25,0.00091263420184241
"143",1,1,1,1,0,0,0,0,0,TRUE,0.025676300342288,"c11001",0.853789982464578,"Su",0.00661456899017013,"Su=0","11000",25,0.000975042280874179
"144",1,1,1,1,0,0,0,0,0,TRUE,0.025676300342288,"c11001",0.853789982464578,"br",0,"br=0","11000",25,0.00091263420184241
"145",0,0,0,0,1,0,0,0,0,FALSE,1.82207395284679e-09,"c00100",2.91534261371425e-08,"P",0.00210514528957967,"P=0","00000",1,0.0166030441920168
"146",0,0,0,0,1,0,0,0,0,FALSE,1.82207395284679e-09,"c00100",2.91534261371425e-08,"Pu",0.00310629067145701,"Pu=0","00000",1,0.0167700996408345
"147",0,0,0,0,1,0,0,0,0,FALSE,1.82207395284679e-09,"c00100",2.91534261371425e-08,"K",0.331040361935616,"K=0","00000",1,0.445384622940846
"148",0,0,0,0,1,0,0,0,0,FALSE,1.82207395284679e-09,"c00100",2.91534261371425e-08,"Ku",0.331496032618208,"Ku=0","00000",1,0.447418741012581
"149",0,0,0,0,1,0,0,0,0,FALSE,1.82207395284679e-09,"c00100",2.91534261371425e-08,"C",-0.000439384137746542,"C=1","00000",1,0.0161859044747829
"150",0,0,0,0,1,0,0,0,0,FALSE,1.82207395284679e-09,"c00100",2.91534261371425e-08,"Cu",-0.0567825192012825,"Cu=0","00000",1,0.00921386503605255
"151",0,0,0,0,1,0,0,0,0,FALSE,1.82207395284679e-09,"c00100",2.91534261371425e-08,"S",0,"S=0","00000",1,0.0162571792419382
"152",0,0,0,0,1,0,0,0,0,FALSE,1.82207395284679e-09,"c00100",2.91534261371425e-08,"Su",-0.0017156684557695,"Su=0","00000",1,0.0159806389861651
"153",0,0,0,0,1,0,0,0,0,FALSE,1.82207395284679e-09,"c00100",2.91534261371425e-08,"br",-0.000439384137746544,"br=0","00000",1,0.0161859044747829
"154",1,0,0,0,1,0,0,0,0,FALSE,1.82207395284679e-09,"c10100",2.91534261371425e-08,"P",0.00078002066833222,"P=1","00000",1,0.015776121793128
"155",1,0,0,0,1,0,0,0,0,FALSE,1.82207395284679e-09,"c10100",2.91534261371425e-08,"Pu",-0.002015302594367,"Pu=0","00000",1,0.0153412347573488
"156",1,0,0,0,1,0,0,0,0,FALSE,1.82207395284679e-09,"c10100",2.91534261371425e-08,"K",0.33517165248059,"K=0","00000",1,0.446935297630203
"157",1,0,0,0,1,0,0,0,0,FALSE,1.82207395284679e-09,"c10100",2.91534261371425e-08,"Ku",0.336050538164241,"Ku=0","00000",1,0.450880660193359
"158",1,0,0,0,1,0,0,0,0,FALSE,1.82207395284679e-09,"c10100",2.91534261371425e-08,"C",0,"C=1","00000",1,0.0156535434721042
"159",1,0,0,0,1,0,0,0,0,FALSE,1.82207395284679e-09,"c10100",2.91534261371425e-08,"Cu",-0.0578657379008125,"Cu=0","00000",1,0.00877616858260046
"160",1,0,0,0,1,0,0,0,0,FALSE,1.82207395284679e-09,"c10100",2.91534261371425e-08,"S",0,"S=0","00000",1,0.0156535434721042
"161",1,0,0,0,1,0,0,0,0,FALSE,1.82207395284679e-09,"c10100",2.91534261371425e-08,"Su",-0.00208930139393213,"Su=0","00000",1,0.0153298866270478
"162",1,0,0,0,1,0,0,0,0,FALSE,1.82207395284679e-09,"c10100",2.91534261371425e-08,"br",0,"br=0","00000",1,0.0156535434721042
"163",0,1,0,0,1,0,0,0,0,FALSE,0.0276860529446664,"c00100",0.442980537804339,"P",-0.00281165630282108,"P=0","10000",17,0.0159461901832579
"164",0,1,0,0,1,0,0,0,0,FALSE,0.0276860529446664,"c00100",0.442980537804339,"Pu",0.00893250203846896,"Pu=1","10000",17,0.0179333395316092
"165",0,1,0,0,1,0,0,0,0,FALSE,0.0276860529446664,"c00100",0.442980537804339,"K",0.328725318957055,"K=0","10000",17,0.439039634814023
"166",0,1,0,0,1,0,0,0,0,FALSE,0.0276860529446664,"c00100",0.442980537804339,"Ku",0.331666993663754,"Ku=0","10000",17,0.452146589533443
"167",0,1,0,0,1,0,0,0,0,FALSE,0.0276860529446664,"c00100",0.442980537804339,"C",0,"C=1","10000",17,0.0164009047951393
"168",0,1,0,0,1,0,0,0,0,FALSE,0.0276860529446664,"c00100",0.442980537804339,"Cu",-0.0569542714767198,"Cu=0","10000",17,0.00927937122871729
"169",0,1,0,0,1,0,0,0,0,FALSE,0.0276860529446664,"c00100",0.442980537804339,"S",0,"S=0","10000",17,0.0164009047951393
