"","P","Pu","K","Ku","C","Cu","S","Su","br","sem","prior","condition","posterior","Pces","Puces","Kces","Kuces","Cces","Cuces","Sces","Suces","brces","Pcfs","Pucfs","Kcfs","Kucfs","Ccfs","Cucfs","Scfs","Sucfs","brcfs","E_count"
"16",1,1,1,1,0,0,0,0,0,TRUE,2.50576189133152e-15,"c11001",7.03474234039312e-14,0.296362230628969,0.293708404355519,0.291421147815138,0.294568853194309,0.00341140728050456,-0.00146520479211434,-0.000126649212171403,-0.0170512915658338,-0.109454697841457,14925,14987,14997,15011,5256,3,29821,2379,14341,93322
"17",0,0,0,0,1,0,0,0,0,FALSE,9.22488891811912e-11,"c00100",2.83064296854033e-09,0.115581719358677,0.111740210767476,0.107049336490555,0.111052714538891,-0.00275715188031512,-0.00261634938113663,0.0222206410610422,0.0984825459668439,0.851915787757092,14905,15046,15100,15066,24735,3,30061,2449,14207,81422
"18",1,0,0,0,1,0,0,0,0,FALSE,9.22488891811912e-11,"c10100",3.43141496004883e-09,-0.098829961259034,0.564781560418985,0.0899707892268194,0.080854838346514,0.000458572839018991,0.00199096347651315,0.0208915400374859,0.0757840584211664,0.663382284700283,14840,15006,15000,15004,24628,5,29762,2371,14266,72563
"19",0,1,0,0,1,0,0,0,0,FALSE,1.95787845672427e-11,"c00100",6.00771991508504e-10,0.566912592683919,-0.101703465970731,0.0940014060947319,0.0850214158658529,0.000296577257480561,-0.0043565796540443,0.0203688575454315,0.0756061976501583,0.665373446013307,15055,15107,14965,14994,24723,5,29921,2405,14387,72486
"20",1,1,0,0,1,0,0,0,0,TRUE,1.95787845672427e-11,"c10101",5.49713078846894e-10,0.595008627718927,0.596399515541839,-0.0347422848385105,-0.0331635482675819,0.00368474508958564,-0.00053064554524213,-0.0125230976447618,-0.0245919775168734,-0.226025281051806,15169,15129,14772,14916,24803,5,29779,2389,14489,76834
"21",0,0,1,0,1,0,0,0,0,FALSE,9.22488891811912e-11,"c01100",2.83100524420939e-09,0.0916042194803741,0.0879318872119852,-0.103083878465617,0.563767809934649,-0.001362557354682,0.000732852082185354,0.0197907629437865,0.0755915194003389,0.666841170008091,14804,15128,14947,14888,24445,3,29882,2364,14351,72632
"22",1,0,1,0,1,0,0,0,0,FALSE,9.22488891811912e-11,"c11100",3.43185412463592e-09,-0.0792511193997767,0.471855518270439,-0.0890995931627742,0.474336098737224,0.00274890206511972,0.00603818077858346,0.0126759294462091,0.0593801983159267,0.552783439678676,14927,14908,15224,15365,24834,2,29815,2371,14356,64576
"23",0,1,1,0,1,0,0,0,0,FALSE,1.95787845672427e-11,"c01100",6.00848880426533e-10,0.471671462458893,-0.0836919421983415,-0.0798301644242938,0.469757549909471,-0.00299688728560931,-0.00523113962207583,0.0198265854547394,0.0622454615453093,0.553594040006645,14967,14931,15017,15064,24789,5,30038,2489,14363,64630
"24",1,1,1,0,1,0,0,0,0,TRUE,1.95787845672427e-11,"c11101",5.49659986629573e-10,0.554066401387508,0.560589062727998,0.0280999284862631,-0.177602244680991,0.000398367352369093,-0.0022747386090608,-0.00408498960100399,-0.0222242816099298,-0.20779026726752,14930,15033,14859,15004,24526,2,29968,2429,14302,79446
"25",0,0,0,1,1,0,0,0,0,FALSE,1.18063381429017e-14,"c00100",3.6227566906278e-13,0.0821915394176742,0.0931099215717213,0.56703034910151,-0.100221347140543,0.00153567826898514,0.00316646507594081,0.018054505680271,0.0737099809512193,0.66424174386036,15213,15032,15180,14925,24596,4,30094,2360,14408,72384
"26",1,0,0,1,1,0,0,0,0,FALSE,1.18063381429017e-14,"c10100",4.39164587091942e-13,-0.0841199166665934,0.473611481303349,0.470259539741849,-0.0762913479143594,-0.00364321904867366,0.00428093305667442,0.00791613965163877,0.0604117686981197,0.558164511492373,15134,15046,14794,14910,24749,1,30253,2420,14530,64697
"27",0,1,0,1,1,0,0,0,0,FALSE,2.50576189133152e-15,"c00100",7.68889180291623e-14,0.471995376957156,-0.0832093773404969,0.472193913398862,-0.0839022270442467,0.000182602667124874,-0.00227252001340503,0.0171381381816531,0.0610171202351715,0.551221633610662,15074,14888,15035,14951,24573,5,30238,2440,14255,64635
"28",1,1,0,1,1,0,0,0,0,TRUE,2.50576189133152e-15,"c10101",7.03542183331278e-14,0.555908817630837,0.547917908693196,-0.176561021978779,0.025675117619507,0.00530450081242027,0.00329495644040864,-0.00535899508632293,-0.0225153093672075,-0.207660234790284,14892,14841,14974,15078,24751,2,29942,2420,14447,79658
"29",0,0,1,1,1,0,0,0,0,TRUE,1.18063381429017e-14,"c01101",3.94665534332359e-13,-0.0321635130902822,-0.0264991471398105,0.603131403715399,0.593339261909316,0.00167961353951724,0.000312208946557323,-0.00185129073347778,-0.0226001237151083,-0.222825092244953,14963,15206,15169,14711,24770,4,29542,2416,14305,77075
"30",1,0,1,1,1,0,0,0,0,TRUE,1.18063381429017e-14,"c11101",3.31454265890903e-13,0.0309572231695705,-0.179145963134408,0.557006022891671,0.557405055276503,0.00142921451478962,0.00171636272430472,-0.00551763068353455,-0.0243619796702098,-0.206503541084959,14809,15184,15030,15068,24868,3,30154,2402,14080,79351
"31",0,1,1,1,1,0,0,0,0,TRUE,2.50576189133152e-15,"c01101",8.37633010152764e-14,-0.174972825124835,0.0319208002437436,0.554424301644616,0.558464395604732,0.00430489021372091,-0.00225856894406047,-0.00734522663757987,-0.0251881635629457,-0.207590838376474,15043,14940,14671,14928,24596,2,30024,2344,14454,79678
"32",1,1,1,1,1,0,0,0,0,TRUE,2.50576189133152e-15,"c11101",7.03474234039312e-14,0.284852708394972,0.292548492069783,0.286785859295299,0.289556184175745,0.00312668938830322,-0.00143440185101157,-0.00262211568261747,-0.0130051482132377,-0.107567628070397,14884,14846,14915,14698,24680,3,30079,2340,14436,93582
"33",0,0,0,0,0,1,0,0,0,FALSE,0.0247122658534633,"c00000",0.758292074795712,0.110435778714453,0.113739299151072,0.111173388898067,0.113018215576166,0.000706957156045305,-0.00214468039836725,0.021070755560665,0.0989467904371849,0.85295790284087,14857,14841,14957,14819,5321,30094,29899,2401,14211,81454
"34",1,0,0,0,0,1,0,0,0,FALSE,0.0247122658534633,"c10000",0.919231001033751,-0.100528317050496,0.566044814467644,0.0896854642335278,0.093310062244071,-8.47032904272419e-05,0.00105231287819526,0.0193795532325425,0.0782935919040228,0.664395148966776,15028,14928,15021,15072,5271,29973,30137,2356,14381,72437
"35",0,1,0,0,0,1,0,0,0,FALSE,0.0052448992460284,"c00000",0.160938926238039,0.565980958909748,-0.0985620659979278,0.0890543529036086,0.0912600913678722,0.00428025649847165,0.000320966594496032,0.0164567936892943,0.0772319002206692,0.664134601142724,15038,14975,14966,14937,5206,30350,29889,2428,14343,72483
"36",1,1,0,0,0,1,0,0,0,TRUE,0.0052448992460284,"c10001",0.147260914122314,0.606265808043601,0.599129899375941,-0.030822654172737,-0.0278442521589009,-0.00223603860266664,0.00150820137507751,-0.00198629000312476,-0.0273198693817515,-0.22393385652424,15094,14892,14771,14913,5209,30049,30151,2327,14204,76752
"37",0,0,1,0,0,1,0,0,0,FALSE,0.0247122658534633,"c01000",0.758389123689478,0.0904728949530275,0.0916747733107078,-0.103093935585114,0.560284173140244,0.00110235769959845,-0.0054094320847251,0.0168075318103638,0.0772658266732976,0.666103643368605,15052,14785,15185,14938,5345,29797,30010,2332,14406,72499
"38",1,0,1,0,0,1,0,0,0,FALSE,0.0247122658534633,"c11000",0.91934864745883,-0.0805218263254005,0.4715799610553,-0.0844351394259687,0.469903541583282,-0.00122765017310122,0.00119709862093163,0.0143003289758493,0.0659538367815408,0.553465118982394,14951,15148,14963,15031,5317,30035,30176,2429,14444,64469
"39",0,1,1,0,0,1,0,0,0,FALSE,0.0052448992460284,"c01000",0.160959523769352,0.475566805588953,-0.0851151188521408,-0.0791711489654385,0.471583210801814,9.36491606103282e-05,0.000619139437379297,0.0187234904621622,0.0663902370351821,0.552049443431711,15106,15093,14812,14958,5256,29893,30336,2522,14243,64726
"40",1,1,1,0,0,1,0,0,0,TRUE,0.0052448992460284,"c11001",0.147246691414585,0.556101786237547,0.557376152506642,0.0313423390417075,-0.174278865101683,-0.00619265432800075,-0.00116243448718554,-0.00387357703908967,-0.0220636212114371,-0.208169950247398,14953,14978,14900,14953,5221,30228,29970,2418,14383,79494
"41",0,0,0,1,0,1,0,0,0,FALSE,3.16276292899535e-06,"c00000",9.70488937653906e-05,0.0896915574275829,0.0882363097519178,0.563528263103516,-0.10595944130633,-0.00162680959963371,0.000742755443056521,0.0218227529563488,0.0712396453481771,0.665024587263793,14992,15117,14954,15132,5228,29895,29999,2373,14371,72491
"42",1,0,0,1,0,1,0,0,0,FALSE,3.16276292899535e-06,"c10000",0.000117646425078637,-0.0841496459324914,0.46850079555921,0.47135594223455,-0.0847695562653274,0.00261720600174255,-0.00385190884973891,0.0128499823388325,0.0596492486761082,0.55366099384808,15190,14903,14972,15131,5409,29765,30007,2337,14213,64915
"43",0,1,0,1,0,1,0,0,0,FALSE,6.71260701063133e-07,"c00000",2.05975313132467e-05,0.470913658297307,-0.0810178580177277,0.471775591690053,-0.0839665993343805,0.00127673172092535,0.00137901275762468,0.0176204372624263,0.0633732484963096,0.556300148472763,14969,15173,14900,15178,5370,30037,30040,2420,14472,64651
"44",1,1,0,1,0,1,0,0,0,TRUE,6.71260701063133e-07,"c10001",1.88469710886811e-05,0.550075793662029,0.561808735086795,-0.177102988743402,0.0338310491133631,-0.00260235314539109,-0.00125338880756223,-0.0070286021702244,-0.0277075255639641,-0.207309621046957,15003,14844,15031,15082,5296,29991,29901,2485,14331,79560
"45",0,0,1,1,0,1,0,0,0,TRUE,3.16276292899535e-06,"c01001",0.00010572571327622,-0.0326678229693734,-0.029426256141738,0.594768065850285,0.599597843815139,0.00299101735197806,0.00308050773312752,-0.00191418591136729,-0.0224846209015329,-0.224731573982118,14881,14805,14939,15176,5199,30193,29945,2394,14366,76861
"46",1,0,1,1,0,1,0,0,0,TRUE,3.16276292899535e-06,"c11001",8.87922446510131e-05,0.0321500902154613,-0.178352588688521,0.557041328022167,0.559604750671017,0.00468096587504887,-0.00185405202062597,-0.0112688839208565,-0.0207545550836988,-0.207717755554417,14985,15093,15058,14997,5156,29958,30112,2467,14259,79400
"47",0,1,1,1,0,1,0,0,0,TRUE,6.71260701063133e-07,"c01001",2.24390882299669e-05,-0.173359671615446,0.0354219594045924,0.557421286357643,0.561306072570617,0.000600281228972093,-0.00197500153720659,-0.00209680316024366,-0.0227234797400959,-0.208948522480807,14762,15024,14891,14926,5255,30037,30150,2337,14389,79380
"48",1,1,1,1,0,1,0,0,0,TRUE,6.71260701063133e-07,"c11001",1.88451508163911e-05,0.28865967533168,0.293607889755924,0.295471267265285,0.28946225045159,0.000362557146923969,0.00110692715917361,-0.00750524494964752,-0.0106428428912992,-0.109841042436988,15094,15020,15073,15020,5233,29984,30023,2386,14408,93312
"49",0,0,0,0,1,1,0,0,0,FALSE,0.0247122658534633,"c00100",0.758292074795712,0.115584273678993,0.110895889003829,0.116839359371573,0.117339238551481,-0.000751879289986361,0.00195276910490327,0.0226482751521356,0.0971744568127256,0.852875813092107,14933,15099,15025,15055,24536,30121,29843,2439,14476,81123
"50",1,0,0,0,1,1,0,0,0,FALSE,0.0247122658534633,"c10100",0.919231001033751,-0.0952713633713483,0.564335250870619,0.0896737258199171,0.0887934982844775,-0.00595448139663701,-0.00181385922431115,0.0174052505714002,0.0743459844288407,0.666767966828078,15177,14906,15109,15122,24882,30111,29717,2460,14456,72458
"51",0,1,0,0,1,1,0,0,0,FALSE,0.0052448992460284,"c00100",0.160938926238039,0.564993020675498,-0.100350293689496,0.0892961682863521,0.0933512688069902,0.00460113006197913,0.00202983534965536,0.0200412331070494,0.0738224644947533,0.664535783724748,14957,14943,15168,15019,24708,29894,29974,2457,14287,72598
"52",1,1,0,0,1,1,0,0,0,TRUE,0.0052448992460284,"c10101",0.147260914122314,0.604358625582987,0.595408882432634,-0.0351965126903247,-0.0343679072031423,0.000818978128449656,0.00256941761432851,-0.00636681984927809,-0.0287595659170795,-0.22352406035914,15098,14792,15041,15011,24514,30479,30000,2459,14398,77098
"53",0,0,1,0,1,1,0,0,0,FALSE,0.0247122658534633,"c01100",0.758389123689478,0.0924650768587502,0.0877944621727891,-0.0955718442562516,0.565767370577814,-0.000659579658703212,0.00195572290696765,0.0219642033338975,0.0728404335524742,0.662896728903603,14930,15014,14962,14817,24736,29905,30040,2464,14109,72790
"54",1,0,1,0,1,1,0,0,0,FALSE,0.0247122658534633,"c11100",0.91934864745883,-0.0859910195266249,0.476834048220039,-0.0806052579591701,0.469497891466168,-0.00286716903588323,0.00109394055532041,0.0174676093689217,0.0614016500758057,0.552689156987897,15137,15171,15159,14928,24732,29746,29754,2382,14159,64936
"55",0,1,1,0,1,1,0,0,0,FALSE,0.0052448992460284,"c01100",0.160959523769352,0.471333067110804,-0.081829413311967,-0.0828091958279212,0.473289657894707,0.00301490288227839,-0.00520768924395869,0.0167603468008087,0.059882380816519,0.552844242241351,15024,15111,14806,14889,24612,30220,29976,2477,14192,64887
"56",1,1,1,0,1,1,0,0,0,TRUE,0.0052448992460284,"c11101",0.147246691414585,0.556765938543087,0.561395273173904,0.0312164550161535,-0.17587118888134,0.00374094881757896,-0.00197438654175155,-0.000502849192734741,-0.0236788478664782,-0.208898781166795,14962,14958,15066,14814,24850,29912,29833,2408,14442,79458
"57",0,0,0,1,1,1,0,0,0,FALSE,3.16276292899535e-06,"c00100",9.70488937653906e-05,0.0872110953615642,0.0881248832566341,0.568007763307348,-0.105361029443864,0.00105782468525731,0.00142132641837705,0.0198364575309879,0.0733418360647118,0.661845145201615,14942,14997,15181,14747,25044,30017,29779,2449,14418,72223
"58",1,0,0,1,1,1,0,0,0,FALSE,3.16276292899535e-06,"c10100",0.000117646425078637,-0.0831464416068457,0.467069393928911,0.472968330120105,-0.0760630513427048,0.00798566372573373,0.00518238382073841,0.0218138735009304,0.0630711842552573,0.553346992315825,14887,15071,15078,14816,25045,29919,30085,2433,14408,64526
"59",0,1,0,1,1,1,0,0,0,FALSE,6.71260701063133e-07,"c00100",2.05975313132467e-05,0.469083415205552,-0.0811172598752896,0.475028239899369,-0.0845511993550288,0.00137127919743583,0.001412292505126,0.0116895514833815,0.06254014551596,0.557008060027664,14998,14889,15058,14817,24871,29949,29963,2421,14497,64663
"60",1,1,0,1,1,1,0,0,0,TRUE,6.71260701063133e-07,"c10101",1.88469710886811e-05,0.552137879818147,0.554731319700853,-0.1769255094121,0.0324665161777603,-0.00482489101028382,-0.000366529255608317,-0.00653404665286652,-0.0257853474254653,-0.209702066493819,15090,15084,14957,15036,24617,29866,30145,2331,14487,79392
"61",0,0,1,1,1,1,0,0,0,TRUE,3.16276292899535e-06,"c01101",0.00010572571327622,-0.0338944964759811,-0.0247165314776723,0.601212584570076,0.599308874338123,0.00334221138325394,-0.00139306329598818,-0.00546530913682995,-0.0283288938263709,-0.224086834811321,15057,14934,14935,14869,24941,30290,29661,2414,14465,77105
"62",1,0,1,1,1,1,0,0,0,TRUE,3.16276292899535e-06,"c11101",8.87922446510131e-05,0.0357046690016724,-0.177754819364342,0.556497104976003,0.556645833772047,0.00263945354141114,-0.000410579392595214,-0.00808540651779076,-0.0235166674342826,-0.208710125104988,15089,15052,14973,15163,24999,30071,29999,2392,14391,79420
"63",0,1,1,1,1,1,0,0,0,TRUE,6.71260701063133e-07,"c01101",2.24390882299669e-05,-0.177284984150955,0.0312816777835321,0.553971519608606,0.563418940454558,0.00169936554303133,-0.00361404246358044,-0.00307915685221022,-0.0199579543418524,-0.209507404452704,15091,15178,15007,15108,24710,29760,30071,2459,14421,79335
"64",1,1,1,1,1,1,0,0,0,TRUE,6.71260701063133e-07,"c11101",1.88451508163911e-05,0.290608978332579,0.290092783102102,0.290099561245481,0.283524501701183,-0.00175299815853651,0.00366638568409625,-0.00234728901675712,-0.0145917108149701,-0.107968973141266,14889,15136,15047,15093,24694,30093,29683,2419,14258,93449
"65",0,0,0,0,0,0,1,0,0,FALSE,9.22488891811912e-11,"c00010",3.07896570664235e-09,0.107064342041998,0.109122412204285,0.103391207406828,0.111810634013891,0.000452616260870039,0.00180545828197359,0,0.311862680586199,0.815606762591544,15064,15066,15013,15076,5318,3,0,2391,14350,79881
"66",1,0,0,0,0,0,1,0,0,FALSE,9.22488891811912e-11,"c10010",3.73244139394169e-09,-0.0913938575123787,0.548162043531286,0.0824716780680304,0.0860833308933889,-0.00183676341606331,-0.000488219061636216,0,0.249902832381846,0.643346493657041,14903,14936,15141,14895,5275,4,0,2427,14152,71516
"67",0,1,0,0,0,0,1,0,0,FALSE,1.95787845672427e-11,"c00010",6.53475687299333e-10,0.545704173032308,-0.0954959174936465,0.0885611504718285,0.0926381049197956,0.000910804582322835,-0.00319059367149993,0,0.248947724765753,0.644795409289221,14934,15073,14973,15148,5226,8,0,2425,14290,71377
"68",1,1,0,0,0,0,1,0,0,TRUE,1.95787845672427e-11,"c10011",5.1816876301906e-10,0.59353580486727,0.590542907100375,-0.0296841394917107,-0.0314568382021026,0.00395864230425187,-0.00241410375056545,0,-0.0854218760138652,-0.220673747956825,14886,14885,15152,15056,5322,2,0,2443,14319,77436
"69",0,0,1,0,0,0,1,0,0,FALSE,9.22488891811912e-11,"c01010",3.07935976353112e-09,0.0833968244212855,0.0843519089640943,-0.100830751249842,0.546366921322062,-0.00435445761984141,0.00053910238944146,0,0.249412835277264,0.645730908874401,15057,15077,15060,15049,5212,3,0,2463,14476,71127
"70",1,0,1,0,0,0,1,0,0,FALSE,9.22488891811912e-11,"c11010",3.73291908495332e-09,-0.0857075633584638,0.459986915499357,-0.0849170601318835,0.461470888926815,0.00256853040478734,-0.00239084642786414,0,0.208157594342737,0.540774901852774,15140,15133,14949,15094,5275,5,0,2405,14260,63746
"71",0,1,1,0,0,0,1,0,0,FALSE,1.95787845672427e-11,"c01010",6.53559321422203e-10,0.463968380324385,-0.0831309495379999,-0.0779835975123362,0.459370623466988,0.0029155536674766,-0.00242152794222538,0,0.204681590593057,0.542936383464042,15146,15019,15121,15057,5218,5,0,2350,14481,63515
"72",1,1,1,0,0,0,1,0,0,TRUE,1.95787845672427e-11,"c11011",5.18125393258957e-10,0.547377774234914,0.553694178988619,0.0317786223034864,-0.173704838447716,-0.00322348908058928,-0.00224419325524644,0,-0.0782187836425785,-0.20601089309778,14738,15017,15186,15060,5299,2,0,2372,14423,79884
"73",0,0,0,1,0,0,1,0,0,FALSE,1.18063381429017e-14,"c00010",3.94056888767716e-13,0.0842940056698466,0.0873049830432729,0.54718517482408,-0.0985244921908407,-0.00724532305239109,0.00210916451225173,0,0.24927930257425,0.641970922097143,14960,15155,14961,15124,5235,2,0,2437,14212,71328
"74",1,0,0,1,0,0,1,0,0,FALSE,1.18063381429017e-14,"c10010",4.77691011637935e-13,-0.0811262625619285,0.464229147924039,0.459877878187022,-0.0803673516921898,-0.00517792522031876,0.00344804991856318,0,0.203661822316395,0.541473660857272,14897,15007,14869,14897,5154,3,0,2317,14359,63619
"75",0,1,0,1,0,0,1,0,0,FALSE,2.50576189133152e-15,"c00010",8.36341228702198e-14,0.457805648807087,-0.0835702350245763,0.460884760878392,-0.0798387585998022,0.00132756347332474,0.00125115931866143,0,0.209685206386525,0.539944217732906,15123,14977,15097,15056,5209,2,0,2468,14368,63471
"76",1,1,0,1,0,0,1,0,0,TRUE,2.50576189133152e-15,"c10011",6.63170655559447e-14,0.561732445083837,0.542141845017151,-0.174837233467932,0.0281790510793516,0.00268578208905154,-4.60917636671439e-05,0,-0.0785569914857856,-0.205392948966888,15309,14793,14813,14917,5285,5,0,2371,14238,79738
"77",0,0,1,1,0,0,1,0,0,TRUE,1.18063381429017e-14,"c01011",3.6279378301144e-13,-0.0296629611165547,-0.027743031597397,0.592271641060009,0.599055224080281,0.00329973788152659,-0.0024251545149368,0,-0.0845989538164461,-0.221005864518913,15043,15058,14888,15137,5255,2,0,2376,14244,77276
"78",1,0,1,1,0,0,1,0,0,TRUE,1.18063381429017e-14,"c11011",3.12438372884179e-13,0.03067869178955,-0.177885955647585,0.547210638171653,0.549733584281746,-0.000613028447640612,0.000750142545025236,0,-0.0804860316171568,-0.207376133942719,15073,15080,15045,15133,5226,4,0,2490,14495,79765
"79",0,1,1,1,0,0,1,0,0,TRUE,2.50576189133152e-15,"c01011",7.69988818614875e-14,-0.175338962019818,0.0287293691968757,0.550065905955165,0.552467109314942,-0.00174214585389108,-8.89684871551645e-05,0,-0.0800899986217704,-0.207370567824928,14761,15049,15046,15196,5255,5,0,2426,14287,79492
"80",1,1,1,1,0,0,1,0,0,TRUE,2.50576189133152e-15,"c11011",6.63115149411081e-14,0.286900946161873,0.286108909811619,0.288975172689304,0.27997197917395,-0.00279048103196394,-0.00164580872684207,0,-0.0410143167807479,-0.10613581976231,14977,14772,14939,14979,5334,4,0,2424,14263,93658
"81",0,0,0,0,1,0,1,0,0,FALSE,9.22488891811912e-11,"c00110",3.07896570664235e-09,0.114852895875886,0.116905594278005,0.110369457343147,0.104181871288333,-0.00350801216952675,-0.00159635098919522,0,0.311167992425958,0.816408168461834,14843,15014,14884,14911,24605,1,0,2408,14519,79692
"82",1,0,0,0,1,0,1,0,0,FALSE,9.22488891811912e-11,"c10110",3.73244139394169e-09,-0.0990314365428171,0.543347886254171,0.086322215972578,0.0904718203316478,-0.00362306137243676,-0.00264876727882243,0,0.246557011799463,0.648369359512813,14844,14877,15024,14932,24868,7,0,2376,14406,71410
"83",0,1,0,0,1,0,1,0,0,FALSE,1.95787845672427e-11,"c00110",6.53475687299333e-10,0.549221220019354,-0.0965043016356656,0.0815634203387588,0.0825700200078612,-0.00337204687267067,0.00498444260804272,0,0.251514265138192,0.645488681520644,15098,15057,14996,14884,24669,1,0,2483,14362,71301
"84",1,1,0,0,1,0,1,0,0,TRUE,1.95787845672427e-11,"c10111",5.1816876301906e-10,0.593528673063235,0.592829203240793,-0.0299353995505616,-0.0288699811818345,-0.000213256111757372,0,0,-0.0857347100769537,-0.220614649204886,14944,15096,15116,14958,24541,0,0,2443,14223,77308
"85",0,0,1,0,1,0,1,0,0,FALSE,9.22488891811912e-11,"c01110",3.07935976353112e-09,0.0900655292914153,0.0855217613116314,-0.099505555503322,0.548247111930222,-0.00666634240271573,0.00487579642956424,0,0.249289397259722,0.642059333850466,15173,14893,15026,14939,24728,5,0,2450,14281,71218
