"","set_o","node3","post","prior"
"50","o001","Pu=0",0.729771517193888,0.000384614879789337
"51","o001","Pu=1",0.270228482806111,0.000142419775205496
"52","o001","S=0",0.5,0.000263517327497417
"53","o001","S=1",0.5,0.000263517327497417
"54","o001","Su=0",0.5,0.000263517327497417
"55","o001","Su=1",0.5,0.000263517327497417
"56","o001","br_p=1",1,0.000527034654994834
"57","o100","C=0",0.5,0.0079953719093433
"58","o100","C=1",0.5,0.0079953719093433
"59","o100","CSu=0",0.347710786454942,0.00556015410919504
"60","o100","CSu=1",0.652289213545057,0.0104305897094916
"61","o100","Cu=0",0.5,0.0079953719093433
"62","o100","Cu=1",0.5,0.0079953719093433
"63","o100","K=1",0.999999999999999,0.0159907438186866
"64","o100","KCu=0",0.5,0.0079953719093433
"65","o100","KCu=1",0.5,0.0079953719093433
"66","o100","KSu_p=0",0.83931717315134,0.0134213058984873
"67","o100","KSu_p=1",0.160682826848659,0.00256943792019928
"68","o100","Ku=0",0.999999999999999,0.0159907438186866
"69","o100","P=0",0.5,0.0079953719093433
"70","o100","P=1",0.5,0.0079953719093433
"71","o100","PCu=0",0.5,0.0079953719093433
"72","o100","PCu=1",0.5,0.0079953719093433
"73","o100","PKu=0",0.5,0.0079953719093433
"74","o100","PKu=1",0.5,0.0079953719093433
"75","o100","PSu=0",0.378123652362289,0.00604647845671147
"76","o100","PSu=1",0.62187634763771,0.00994426536197513
"77","o100","Pu=0",0.729771517193887,0.0116695893776217
"78","o100","Pu=1",0.270228482806112,0.00432115444106489
"79","o100","S=0",0.999999999999999,0.0159907438186866
"80","o100","Su=0",0.5,0.0079953719093433
"81","o100","Su=1",0.5,0.0079953719093433
"82","o100","br_p=0",0.999999999999999,0.0159907438186866
"83","o101","C=0",0.5,0.0076296280906567
"84","o101","C=1",0.5,0.0076296280906567
"85","o101","CSu=0",0.347710786454943,0.00530580796752194
"86","o101","CSu=1",0.652289213545056,0.00995344821379147
"87","o101","Cu=0",0.5,0.0076296280906567
"88","o101","Cu=1",0.5,0.0076296280906567
"89","o101","K=1",0.999999999999999,0.0152592561813134
"90","o101","KCu=0",0.5,0.0076296280906567
"91","o101","KCu=1",0.5,0.0076296280906567
"92","o101","KSu_p=0",0.83931717315134,0.0128073557624921
"93","o101","KSu_p=1",0.160682826848659,0.00245190041882131
"94","o101","Ku=0",0.00891193883661846,0.000135989557780157
"95","o101","Ku=1",0.991088061163381,0.0151232666235333
"96","o101","P=0",0.5,0.0076296280906567
"97","o101","P=1",0.5,0.0076296280906567
"98","o101","PCu=0",0.5,0.0076296280906567
"99","o101","PCu=1",0.5,0.0076296280906567
"100","o101","PKu=0",0.5,0.0076296280906567
"101","o101","PKu=1",0.5,0.0076296280906567
"102","o101","PSu=0",0.378123652362288,0.00576988567961006
"103","o101","PSu=1",0.621876347637711,0.00948937050170335
"104","o101","Pu=0",0.729771517193888,0.0111357705346873
"105","o101","Pu=1",0.270228482806112,0.0041234856466261
"106","o101","S=0",0.999999999999999,0.0152592561813134
"107","o101","Su=0",0.5,0.0076296280906567
"108","o101","Su=1",0.5,0.0076296280906567
"109","o101","br_p=0",0.982730657093225,0.014995738853816
"110","o101","br_p=1",0.0172693429067743,0.000263517327497417
"111","o110","C=0",0.5,0.00922132211875396
"112","o110","C=1",0.5,0.00922132211875396
"113","o110","CSu=0",0.347710786454943,0.0064127063321326
"114","o110","CSu=1",0.652289213545057,0.0120299379053753
"115","o110","Cu=0",0.5,0.00922132211875396
"116","o110","Cu=1",0.5,0.00922132211875396
"117","o110","K=1",1,0.0184426442375079
"118","o110","KCu=0",0.5,0.00922132211875396
"119","o110","KCu=1",0.5,0.00922132211875396
"120","o110","KSu_p=0",0.727732190983308,0.0134213058984873
"121","o110","KSu_p=1",0.272267809016692,0.00502133833902059
"122","o110","Ku=0",0.868237482599531,0.0160125950052526
"123","o110","Ku=1",0.131762517400469,0.0024300492322553
"124","o110","P=0",0.5,0.00922132211875396
"125","o110","P=1",0.5,0.00922132211875396
"126","o110","PCu=0",0.5,0.00922132211875396
"127","o110","PCu=1",0.5,0.00922132211875396
"128","o110","PKu=0",0.5,0.00922132211875396
"129","o110","PKu=1",0.5,0.00922132211875396
"130","o110","PSu=0",0.378123652362289,0.00697359999830481
"131","o110","PSu=1",0.621876347637711,0.0114690442392031
"132","o110","Pu=0",0.729771517193888,0.0134589164662733
"133","o110","Pu=1",0.270228482806112,0.00498372777123464
"134","o110","S=1",1,0.0184426442375079
"135","o110","Su=0",0.5,0.00922132211875396
"136","o110","Su=1",0.5,0.00922132211875396
"137","o110","br_p=0",0.997704086867339,0.018400301528402
"138","o110","br_p=1",0.00229591313266098,4.23427091058888e-05
"139","o111","C=0",0.5,0.00640367788124605
"140","o111","C=1",0.5,0.00640367788124605
"141","o111","CSu=0",0.347710786454943,0.00445325574458438
"142","o111","CSu=1",0.652289213545057,0.00835410001790772
"143","o111","Cu=0",0.5,0.00640367788124605
"144","o111","Cu=1",0.5,0.00640367788124605
"145","o111","K=1",1,0.0128073557624921
"146","o111","KCu=0",0.5,0.00640367788124605
"147","o111","KCu=1",0.5,0.00640367788124605
"148","o111","KSu_p=0",1,0.0128073557624921
"149","o111","Ku=0",0.00891193883661847,0.000114138371214143
"150","o111","Ku=1",0.991088061163382,0.012693217391278
"151","o111","P=0",0.5,0.00640367788124605
"152","o111","P=1",0.5,0.00640367788124605
"153","o111","PCu=0",0.5,0.00640367788124605
"154","o111","PCu=1",0.5,0.00640367788124605
"155","o111","PKu=0",0.5,0.00640367788124605
"156","o111","PKu=1",0.5,0.00640367788124605
"157","o111","PSu=0",0.378123652362288,0.00484276413801672
"158","o111","PSu=1",0.621876347637712,0.00796459162447538
"159","o111","Pu=0",0.729771517193889,0.00934644344603575
"160","o111","Pu=1",0.270228482806112,0.00346091231645635
"161","o111","S=1",1,0.0128073557624921
"162","o111","Su=0",0.5,0.00640367788124605
"163","o111","Su=1",0.5,0.00640367788124605
"164","o111","br_p=0",0.982730657093226,0.0125861811441006
"165","o111","br_p=1",0.0172693429067743,0.000221174618391528
