"","condObs","node3","normed_count","postces_norm"
"65","0100","Unclear",0.116666666666667,0.0533065745066733
"66","0100","Unclear",0.116666666666667,0.0650951482111276
"67","0101","C=0",0.0327868852459016,0.0674016976248865
"68","0101","Cu=0",0,0.0665180966505688
"69","0101","Cu=1",0.245901639344262,0.0669582569665282
"70","0101","K=1",0.0163934426229508,0.0975542850497957
"71","0101","Ku=0",0,0.0667417874731983
"72","0101","Ku=1",0.0655737704918033,0.113629945808792
"73","0101","P=0",0.0983606557377049,0.0675669620109056
"74","0101","Pu=0",0.114754098360656,0.0667246522557993
"75","0101","Pu=1",0.0327868852459016,0.0673998206590273
"76","0101","S=1",0.0163934426229508,0.062232416023221
"77","0101","Su=0",0.0983606557377049,0.0667999319248962
"78","0101","Su=1",0.0327868852459016,0.0670291908400452
"79","0101","Unclear",0.131147540983607,0.0561128485533057
"80","0101","Unclear",0.131147540983607,0.0673301081590304
"81","0110","C=1",0.355932203389831,0.0637911570051501
"82","0110","Cu=0",0,0.0646320408344207
"83","0110","Cu=1",0.355932203389831,0.0645118983831406
"84","0110","K=1",0.0338983050847458,0.102867779587641
"85","0110","Ku=0",0,0.0644473739618413
"86","0110","Ku=1",0.0338983050847458,0.122193607440778
"87","0110","P=0",0.0508474576271186,0.065309953790989
"88","0110","Pu=0",0,0.0644390979255682
"89","0110","Pu=1",0.0508474576271186,0.0650447313619777
"90","0110","S=0",0,0.0749228967956149
"91","0110","Su=0",0.0169491525423729,0.06451508871262
"92","0110","Su=1",0,0.0648086341840777
"93","0110","Unclear",0.0169491525423729,0.0533326530166314
"94","0110","Unclear",0.0169491525423729,0.0651830869995496
"95","0111","C=1",0.372881355932203,0.0662578689742179
"96","0111","Cu=0",0,0.0665172011742677
"97","0111","Cu=1",0.406779661016949,0.0670507405798239
"98","0111","K=1",0.0508474576271186,0.0976802629143779
"99","0111","Ku=0",0,0.0668463329585379
"100","0111","Ku=1",0,0.113806040169545
"101","0111","P=0",0.0338983050847458,0.0677239857502902
"102","0111","Pu=0",0.0677966101694915,0.0667856634351421
"103","0111","Pu=1",0,0.0674796628508094
"104","0111","S=1",0,0.0623906526226515
"105","0111","Su=0",0.0169491525423729,0.066893583701167
"106","0111","Su=1",0,0.0669296803702769
"107","0111","Unclear",0,0.0562019740809598
"108","0111","Unclear",0,0.0674363504179328
"109","1000","C=0",0.0491803278688525,0.0690017919108103
"110","1000","Cu=0",0,0.0686280971617856
"111","1000","Cu=1",0.0491803278688525,0.0692441743698683
"112","1000","K=0",0.426229508196721,0.0656885260805852
"113","1000","Ku=0",0,0.0680355751379672
"114","1000","Ku=1",0.0491803278688525,0.0701338614287643
"115","1000","P=1",0.131147540983607,0.0691025887327715
"116","1000","Pu=0",0.0327868852459016,0.0692128479249259
"117","1000","Pu=1",0.0655737704918033,0.0681898603326747
"118","1000","S=0",0,0.0724476016661796
"119","1000","Su=0",0.114754098360656,0.0690920515059469
"120","1000","Su=1",0,0.0685471746635572
"121","1000","Unclear",0,0.172675849084163
"122","1001","C=0",0.0677966101694915,0.0695373451363785
"123","1001","Cu=0",0,0.069065451505292
"124","1001","Cu=1",0.0508474576271186,0.0698680084638522
"125","1001","K=0",0.406779661016949,0.0779437334334412
"126","1001","Ku=0",0,0.0688232174579531
"127","1001","Ku=1",0.0847457627118644,0.0703718813523625
"128","1001","P=1",0.0508474576271186,0.0696486341158356
"129","1001","Pu=0",0.11864406779661,0.0697167440505913
"130","1001","Pu=1",0.0508474576271186,0.0686573690940369
"131","1001","S=1",0,0.0666916122929998
"132","1001","Su=0",0.0508474576271186,0.0696108002855684
"133","1001","Su=1",0.0338983050847458,0.0692382122491853
"134","1001","Unclear",0.0677966101694915,0.160826990562503
"135","1010","C=1",0.148148148148148,0.069084049019396
"136","1010","Cu=0",0,0.068665242197014
"137","1010","Cu=1",0.259259259259259,0.0692408682721529
"138","1010","K=0",0.185185185185185,0.065682193240069
"139","1010","Ku=0",0,0.0680416172172355
"140","1010","Ku=1",0.0555555555555556,0.0700790499732695
"141","1010","P=1",0.0555555555555556,0.0691306991078107
"142","1010","Pu=0",0.0740740740740741,0.0691854470892911
"143","1010","Pu=1",0.037037037037037,0.0681789343566535
"144","1010","S=0",0,0.0723848286210716
"145","1010","Su=0",0.0740740740740741,0.0690704051252706
"146","1010","Su=1",0.0185185185185185,0.0685551971372353
"147","1010","Unclear",0.037037037037037,0.17270146864353
"148","1011","C=1",0.288135593220339,0.0695205776975639
"149","1011","Cu=0",0,0.0690497480536063
"150","1011","Cu=1",0.101694915254237,0.0698376758350945
"151","1011","K=0",0.220338983050847,0.0778969134407173
"152","1011","Ku=0",0,0.0688255056591238
"153","1011","Ku=1",0.11864406779661,0.0703285799884571
"154","1011","P=1",0.0508474576271186,0.0696734163461182
"155","1011","Pu=0",0.0677966101694915,0.069715611439529
"156","1011","Pu=1",0.0169491525423729,0.0688230468486644
"157","1011","S=1",0,0.0667131437256396
"158","1011","Su=0",0.0508474576271186,0.0696018578923457
"159","1011","Su=1",0.0169491525423729,0.069259747016939
"160","1011","Unclear",0.0508474576271186,0.160754176056201
"161","1100","C=0",0.0508474576271186,0.0652114469414672
"162","1100","Cu=0",0,0.0647455660814554
"163","1100","Cu=1",0.186440677966102,0.0644690143646639
"164","1100","K=1",0.0338983050847458,0.102683656944696
"165","1100","Ku=0",0,0.0644720219766588
"166","1100","Ku=1",0.101694915254237,0.122256304047205
"167","1100","P=1",0.11864406779661,0.0638300346857485
"168","1100","Pu=0",0.0508474576271186,0.0644734387554695
"169","1100","Pu=1",0.0677966101694915,0.0650008330454287
"170","1100","S=0",0,0.0749835142505638
"171","1100","Su=0",0.0677966101694915,0.0645326461980381
"172","1100","Su=1",0.0508474576271186,0.0647731212784749
"173","1100","Unclear",0.135593220338983,0.0533611731930927
"174","1100","Unclear",0.135593220338983,0.0652072282370374
"175","1101","C=0",0.0172413793103448,0.0675711531338019
"176","1101","Cu=0",0,0.066538672429323
