"","Preference","Knowledge","Character","Start","Path","Choice","p_short","p_hotdog","p_action","numtag"
"41","Absent","No","Lazy","Pizza","Short","Hotdog",0.946748121416259,0.150076650684633,0.142084787104121,"000110"
"42","Hotdog","No","Lazy","Pizza","Short","Hotdog",0.946748121416259,0.477016208947552,0.4516141997062,"100110"
"43","Absent","Yes","Lazy","Pizza","Short","Hotdog",0.959650881303193,0.226531664194164,0.217391311187008,"010110"
"44","Hotdog","Yes","Lazy","Pizza","Short","Hotdog",0.959650881303193,0.602046614866693,0.577754564542426,"110110"
"45","Absent","No","Sporty","Pizza","Short","Hotdog",0.554285182673468,0.355488446293705,0.197041978392214,"001110"
"46","Hotdog","No","Sporty","Pizza","Short","Hotdog",0.554285182673468,0.740198400851774,0.410281005830734,"101110"
"47","Absent","Yes","Sporty","Pizza","Short","Hotdog",0.624572021882836,0.477764675230027,0.298398449192614,"011110"
"48","Hotdog","Yes","Sporty","Pizza","Short","Hotdog",0.624572021882836,0.825346602774764,0.515488396449164,"111110"
"49","Absent","No","Lazy","Hotdog","Long","Hotdog",0.946748121416259,0.537678435025038,0.028632386739049,"000011"
"50","Hotdog","No","Lazy","Hotdog","Long","Hotdog",0.946748121416259,0.857294691580815,0.045652552826547,"100011"
"51","Absent","Yes","Lazy","Hotdog","Long","Hotdog",0.959650881303193,0.472029232664427,0.0190459635371397,"010011"
"52","Hotdog","Yes","Lazy","Hotdog","Long","Hotdog",0.959650881303193,0.822006314213753,0.0331672303417357,"110011"
"53","Absent","No","Sporty","Hotdog","Long","Hotdog",0.554285182673468,0.404680588978074,0.180372134791956,"001011"
"54","Hotdog","No","Sporty","Hotdog","Long","Hotdog",0.554285182673468,0.778336761591896,0.346916227511457,"101011"
"55","Absent","Yes","Sporty","Hotdog","Long","Hotdog",0.624572021882836,0.343214920409833,0.128852483629107,"011011"
"56","Hotdog","Yes","Sporty","Hotdog","Long","Hotdog",0.624572021882836,0.729680071114305,0.273942313770832,"111011"
"57","Absent","No","Lazy","Pizza","Long","Hotdog",0.946748121416259,0.150076650684633,0.00799186358051256,"000111"
"58","Hotdog","No","Lazy","Pizza","Long","Hotdog",0.946748121416259,0.477016208947552,0.0254020092413513,"100111"
"59","Absent","Yes","Lazy","Pizza","Long","Hotdog",0.959650881303193,0.226531664194164,0.00914035300715556,"010111"
"60","Hotdog","Yes","Lazy","Pizza","Long","Hotdog",0.959650881303193,0.602046614866693,0.0242920503242671,"110111"
"61","Absent","No","Sporty","Pizza","Long","Hotdog",0.554285182673468,0.355488446293705,0.158446467901492,"001111"
"62","Hotdog","No","Sporty","Pizza","Long","Hotdog",0.554285182673468,0.740198400851774,0.32991739502104,"101111"
"63","Absent","Yes","Sporty","Pizza","Long","Hotdog",0.624572021882836,0.477764675230027,0.179366226037413,"011111"
"64","Hotdog","Yes","Sporty","Pizza","Long","Hotdog",0.624572021882836,0.825346602774764,0.3098582063256,"111111"
