"","P","K","C","S","sem_food","prior_food","sem_path","prior_path","pChoice","pChoiceNorm"
"40",1,0,0,1,TRUE,0.037784571291347,TRUE,4.44591858931927e-07,1.67987127893659e-08,4.30047047407766e-06
"41",1,0,1,0,FALSE,0.0268836297140461,FALSE,0.0368232533397465,0.000989942707652259,0.253425333158978
"42",1,0,1,0,FALSE,0.0268836297140461,TRUE,0.0256767466602535,0.000690284149475625,0.17671274226576
"43",1,0,1,0,TRUE,0.0356163702859539,FALSE,0.0368232533397465,0.0013115106260819,0.335746720276966
"44",1,0,1,0,TRUE,0.0356163702859539,TRUE,0.0256767466602535,0.000914512516790216,0.234115204298295
"45",1,0,1,1,FALSE,0.024715428708653,FALSE,0.0368232533397465,0.000910102492739175,0.232986238141229
"46",1,0,1,1,FALSE,0.024715428708653,TRUE,0.0256767466602535,0.000634611801551639,0.16246062119722
"47",1,0,1,1,TRUE,0.037784571291347,FALSE,0.0368232533397465,0.00139135084099498,0.356185815294716
"48",1,0,1,1,TRUE,0.037784571291347,TRUE,0.0256767466602535,0.000970184864714202,0.248367325366836
"49",1,1,0,0,FALSE,0.0268801894926049,FALSE,0.0624995554081417,0.00167999989257441,0.430079972499048
"50",1,1,0,0,FALSE,0.0268801894926049,TRUE,4.44591858303311e-07,1.19507133980623e-08,3.05938262990396e-06
"51",1,1,0,0,TRUE,0.0356198105073951,FALSE,0.0624995554081417,0.00222622232043445,0.569912914031219
"52",1,1,0,0,TRUE,0.0356198105073951,TRUE,4.44591858303311e-07,1.58362777458946e-08,4.05408710294902e-06
"53",1,1,0,1,FALSE,0.0247122659457122,FALSE,0.0624995554081417,0.00154450563473477,0.395393442492102
"54",1,1,0,1,FALSE,0.0247122659457122,TRUE,4.44591858303311e-07,1.09868722396898e-08,2.8126392933606e-06
"55",1,1,0,1,TRUE,0.0377877340542878,FALSE,0.0624995554081417,0.00236171657827408,0.604599444038165
"56",1,1,0,1,TRUE,0.0377877340542878,TRUE,4.44591858303311e-07,1.68001189042671e-08,4.30083043949238e-06
"57",1,1,1,0,FALSE,0.0268801894926049,FALSE,0.0368232533760513,0.000989816028482461,0.25339290329151
"58",1,1,1,0,FALSE,0.0268801894926049,TRUE,0.0256767466239487,0.000690195814805342,0.176690128590168
"59",1,1,1,0,TRUE,0.0356198105073951,FALSE,0.0368232533760513,0.00131163730752075,0.335779150725311
"60",1,1,1,0,TRUE,0.0356198105073951,TRUE,0.0256767466239487,0.00091460084919145,0.234137817393011
"61",1,1,1,1,FALSE,0.0247122659457122,FALSE,0.0368232533760513,0.000909986030415326,0.232956423786323
"62",1,1,1,1,FALSE,0.0247122659457122,TRUE,0.0256767466239487,0.000634530591191688,0.162439831345072
"63",1,1,1,1,TRUE,0.0377877340542878,FALSE,0.0368232533760513,0.00139146730558788,0.356215630230498
"64",1,1,1,1,TRUE,0.0377877340542878,TRUE,0.0256767466239487,0.000970266072805104,0.248388114638107
