"","index","vA","uAuB","vAe","vB","vBe","E","Pr","cond","group","node","cp","wa","node2","trialtype","grp","uAuB2"
"32",8,1,"10",1,1,0,1,0.028,0.411764705882353,7,"Bu=0",0,0,"Bu","d7","A=1, B=1, | E=1","Au=1, Bu=0"
"33",9,0,"01",0,0,1,0,0.027,0.15,1,"A",0.0775023242519158,0.0116253486377874,"A","d1","A=0, B=0, | E=0","Au=0, Bu=1"
"34",9,0,"01",0,0,1,0,0.027,0.15,1,"Au=0",0.0234105778998268,0.00351158668497402,"Au","d1","A=0, B=0, | E=0","Au=0, Bu=1"
"35",9,0,"01",0,0,1,0,0.027,0.15,1,"B",0.87942641106776,0.131913961660164,"B","d1","A=0, B=0, | E=0","Au=0, Bu=1"
"36",9,0,"01",0,0,1,0,0.027,0.15,1,"Bu=1",0,0,"Bu","d1","A=0, B=0, | E=0","Au=0, Bu=1"
"37",10,1,"01",0,0,1,0,0.003,0.5,4,"A",0,0,"A","d4","A=1, B=0, | E=0","Au=0, Bu=1"
"38",10,1,"01",0,0,1,0,0.003,0.5,4,"Au=0",0.49567362665962,0.24783681332981,"Au","d4","A=1, B=0, | E=0","Au=0, Bu=1"
"39",10,1,"01",0,0,1,0,0.003,0.5,4,"B",0.662015547202782,0.331007773601391,"B","d4","A=1, B=0, | E=0","Au=0, Bu=1"
"40",10,1,"01",0,0,1,0,0.003,0.5,4,"Bu=1",0,0,"Bu","d4","A=1, B=0, | E=0","Au=0, Bu=1"
"41",11,0,"11",1,0,1,0,0.063,0.35,1,"A",0.311060062214472,0.108871021775065,"A","d1","A=0, B=0, | E=0","Au=1, Bu=1"
"42",11,0,"11",1,0,1,0,0.063,0.35,1,"Au=1",0,0,"Au","d1","A=0, B=0, | E=0","Au=1, Bu=1"
"43",11,0,"11",1,0,1,0,0.063,0.35,1,"B",0.848390899168229,0.29693681470888,"B","d1","A=0, B=0, | E=0","Au=1, Bu=1"
"44",11,0,"11",1,0,1,0,0.063,0.35,1,"Bu=1",0,0,"Bu","d1","A=0, B=0, | E=0","Au=1, Bu=1"
"45",12,1,"11",1,0,1,1,0.007,0.5,5,"A",0.72734939005525,0.363674695027625,"A","d5","A=1, B=0, | E=1","Au=1, Bu=1"
"46",12,1,"11",1,0,1,1,0.007,0.5,5,"Au=1",0.353222808896227,0.176611404448114,"Au","d5","A=1, B=0, | E=1","Au=1, Bu=1"
"47",12,1,"11",1,0,1,1,0.007,0.5,5,"B",0,0,"B","d5","A=1, B=0, | E=1","Au=1, Bu=1"
"48",12,1,"11",1,0,1,1,0.007,0.5,5,"Bu=1",0.0724261141678594,0.0362130570839297,"Bu","d5","A=1, B=0, | E=1","Au=1, Bu=1"
"49",13,0,"01",0,1,1,1,0.108,0.3,3,"A",0,0,"A","d3","A=0, B=1, | E=1","Au=0, Bu=1"
"50",13,0,"01",0,1,1,1,0.108,0.3,3,"Au=0",0,0,"Au","d3","A=0, B=1, | E=1","Au=0, Bu=1"
"51",13,0,"01",0,1,1,1,0.108,0.3,3,"B",0.474914883491015,0.142474465047305,"B","d3","A=0, B=1, | E=1","Au=0, Bu=1"
"52",13,0,"01",0,1,1,1,0.108,0.3,3,"Bu=1",0.843964491875554,0.253189347562666,"Bu","d3","A=0, B=1, | E=1","Au=0, Bu=1"
"53",14,1,"01",0,1,1,1,0.012,0.176470588235294,7,"A",0.0458707781243311,0.00809484319841137,"A","d7","A=1, B=1, | E=1","Au=0, Bu=1"
"54",14,1,"01",0,1,1,1,0.012,0.176470588235294,7,"Au=0",0,0,"Au","d7","A=1, B=1, | E=1","Au=0, Bu=1"
"55",14,1,"01",0,1,1,1,0.012,0.176470588235294,7,"B",0.439191022083063,0.0775042980146581,"B","d7","A=1, B=1, | E=1","Au=0, Bu=1"
"56",14,1,"01",0,1,1,1,0.012,0.176470588235294,7,"Bu=1",0.76112695213344,0.134316520964725,"Bu","d7","A=1, B=1, | E=1","Au=0, Bu=1"
"57",15,0,"11",1,1,1,1,0.252,0.7,3,"A",0,0,"A","d3","A=0, B=1, | E=1","Au=1, Bu=1"
"58",15,0,"11",1,1,1,1,0.252,0.7,3,"Au=1",0.0123296968442794,0.00863078779099556,"Au","d3","A=0, B=1, | E=1","Au=1, Bu=1"
"59",15,0,"11",1,1,1,1,0.252,0.7,3,"B",0.474370800941855,0.332059560659298,"B","d3","A=0, B=1, | E=1","Au=1, Bu=1"
"60",15,0,"11",1,1,1,1,0.252,0.7,3,"Bu=1",0.832097051895466,0.582467936326826,"Bu","d3","A=0, B=1, | E=1","Au=1, Bu=1"
"61",16,1,"11",1,1,1,1,0.028,0.411764705882353,7,"A",0.31435245673393,0.129439246890442,"A","d7","A=1, B=1, | E=1","Au=1, Bu=1"
"62",16,1,"11",1,1,1,1,0.028,0.411764705882353,7,"Au=1",0.183589938918792,0.0755958572018556,"Au","d7","A=1, B=1, | E=1","Au=1, Bu=1"
"63",16,1,"11",1,1,1,1,0.028,0.411764705882353,7,"B",0.293554583936121,0.120875416914873,"B","d7","A=1, B=1, | E=1","Au=1, Bu=1"
"64",16,1,"11",1,1,1,1,0.028,0.411764705882353,7,"Bu=1",0.452808539580828,0.186450575121517,"Bu","d7","A=1, B=1, | E=1","Au=1, Bu=1"
