"","br_f=0","br_f=1","br_p=0","br_p=1","C=0","C=1","Cu=0","Cu=1","K=0","K=1","Ku_f=0","Ku_f=1","Ku_p=0","Ku_p=1","P=0","P=1","Pu_f=0","Pu_f=1","Pu_p=0","Pu_p=1","S=0","S=1","Su=0","Su=1"
"Preference for hotdog, Doesn't know area, Sporty, Starts near pizza. Gets hotdog by short route.",0,0,0,1,0,5,0,1,2,0,0,0,0,0,0,15,1,6,0,0,0,0,0,1
"Preference for hotdog, Doesn't know area, Sporty, Starts near pizza. Gets pizza by long route.",2,0,0,0,0,10,0,3,4,0,1,0,0,0,3,0,7,0,0,0,0,0,0,0
"Preference for hotdog, Doesn't know area, Sporty, Starts near pizza. Gets pizza by short route.",1,0,0,0,1,0,0,0,6,0,8,0,1,0,0,1,2,1,0,4,0,0,6,1
"Preference for hotdog, Knows area, Lazy, Starts near hotdog. Gets hotdog by long route.",0,0,0,9,1,0,0,6,2,1,2,0,1,0,0,2,1,4,0,0,0,0,0,1
"Preference for hotdog, Knows area, Lazy, Starts near hotdog. Gets hotdog by short route.",0,0,2,0,6,0,0,0,0,1,0,1,0,2,0,12,0,4,0,0,0,0,0,4
"Preference for hotdog, Knows area, Lazy, Starts near hotdog. Gets pizza by long route.",6,0,0,2,0,1,0,1,0,1,1,0,0,0,2,1,13,1,0,0,0,0,0,0
"Preference for hotdog, Knows area, Lazy, Starts near hotdog. Gets pizza by short route.",1,0,0,1,8,0,0,0,0,0,0,2,0,1,1,1,10,1,0,0,1,0,5,0
"Preference for hotdog, Knows area, Lazy, Starts near pizza. Gets hotdog by long route.",0,1,0,7,0,1,0,6,1,1,0,1,1,0,0,8,0,4,0,0,0,0,0,2
"Preference for hotdog, Knows area, Lazy, Starts near pizza. Gets hotdog by short route.",0,0,2,0,1,2,0,0,0,1,1,0,0,1,0,17,0,5,0,1,0,0,0,0
"Preference for hotdog, Knows area, Lazy, Starts near pizza. Gets pizza by long route.",4,0,0,4,5,0,0,4,2,1,2,0,1,0,1,0,5,0,0,0,0,0,0,0
"Preference for hotdog, Knows area, Lazy, Starts near pizza. Gets pizza by short route.",0,0,1,0,23,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,4,0
"Preference for hotdog, Knows area, Sporty, Starts near hotdog. Gets hotdog by long route.",0,0,0,2,1,13,0,10,1,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0
"Preference for hotdog, Knows area, Sporty, Starts near hotdog. Gets hotdog by short route.",0,1,2,0,0,1,0,0,0,4,0,1,0,1,0,16,0,4,0,1,0,0,0,2
"Preference for hotdog, Knows area, Sporty, Starts near hotdog. Gets pizza by long route.",1,0,1,2,0,14,0,6,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0
"Preference for hotdog, Knows area, Sporty, Starts near hotdog. Gets pizza by short route.",0,0,2,0,1,2,0,3,0,1,0,0,0,0,3,0,16,0,0,1,0,0,2,0
"Preference for hotdog, Knows area, Sporty, Starts near pizza. Gets hotdog by long route.",0,0,0,0,0,16,0,7,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0
"Preference for hotdog, Knows area, Sporty, Starts near pizza. Gets hotdog by short route.",0,0,1,1,0,0,0,0,0,3,0,0,1,4,0,13,0,4,0,2,0,0,0,2
"Preference for hotdog, Knows area, Sporty, Starts near pizza. Gets pizza by long route.",1,0,0,2,0,12,0,8,2,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0
"Preference for hotdog, Knows area, Sporty, Starts near pizza. Gets pizza by short route.",1,0,4,0,2,0,0,0,0,1,0,2,0,0,1,0,12,2,0,2,0,0,3,0
