"tag","condition_verbose","node3","count"
"t000010","No preference for hotdog, Doesn't know area, Lazy, Starts near pizza. Gets hotdog by short route.","Ku_p=1",1
"t000010","No preference for hotdog, Doesn't know area, Lazy, Starts near pizza. Gets hotdog by short route.","P=0",1
"t000010","No preference for hotdog, Doesn't know area, Lazy, Starts near pizza. Gets hotdog by short route.","P=1",6
"t000010","No preference for hotdog, Doesn't know area, Lazy, Starts near pizza. Gets hotdog by short route.","Pu_f=1",10
"t000010","No preference for hotdog, Doesn't know area, Lazy, Starts near pizza. Gets hotdog by short route.","Su=1",2
"t000011","No preference for hotdog, Doesn't know area, Lazy, Starts near pizza. Gets hotdog by long route.","br_f=1",2
"t000011","No preference for hotdog, Doesn't know area, Lazy, Starts near pizza. Gets hotdog by long route.","br_p=1",1
"t000011","No preference for hotdog, Doesn't know area, Lazy, Starts near pizza. Gets hotdog by long route.","C=0",2
"t000011","No preference for hotdog, Doesn't know area, Lazy, Starts near pizza. Gets hotdog by long route.","K=0",6
"t000011","No preference for hotdog, Doesn't know area, Lazy, Starts near pizza. Gets hotdog by long route.","Ku_p=0",3
"t000011","No preference for hotdog, Doesn't know area, Lazy, Starts near pizza. Gets hotdog by long route.","P=1",8
"t000011","No preference for hotdog, Doesn't know area, Lazy, Starts near pizza. Gets hotdog by long route.","Pu_f=1",6
"t000011","No preference for hotdog, Doesn't know area, Lazy, Starts near pizza. Gets hotdog by long route.","Su=1",1
"t000100","No preference for hotdog, Doesn't know area, Lazy, Starts near hotdog. Gets pizza by short route.","br_p=0",2
"t000100","No preference for hotdog, Doesn't know area, Lazy, Starts near hotdog. Gets pizza by short route.","br_p=1",2
"t000100","No preference for hotdog, Doesn't know area, Lazy, Starts near hotdog. Gets pizza by short route.","C=0",10
"t000100","No preference for hotdog, Doesn't know area, Lazy, Starts near hotdog. Gets pizza by short route.","K=0",3
"t000100","No preference for hotdog, Doesn't know area, Lazy, Starts near hotdog. Gets pizza by short route.","Ku_f=0",2
"t000100","No preference for hotdog, Doesn't know area, Lazy, Starts near hotdog. Gets pizza by short route.","P=0",8
"t000100","No preference for hotdog, Doesn't know area, Lazy, Starts near hotdog. Gets pizza by short route.","Pu_f=0",2
"t000100","No preference for hotdog, Doesn't know area, Lazy, Starts near hotdog. Gets pizza by short route.","Su=0",1
"t000101","No preference for hotdog, Doesn't know area, Lazy, Starts near hotdog. Gets pizza by long route.","br_f=0",2
"t000101","No preference for hotdog, Doesn't know area, Lazy, Starts near hotdog. Gets pizza by long route.","Cu=1",1
"t000101","No preference for hotdog, Doesn't know area, Lazy, Starts near hotdog. Gets pizza by long route.","K=0",8
"t000101","No preference for hotdog, Doesn't know area, Lazy, Starts near hotdog. Gets pizza by long route.","Ku_f=0",1
"t000101","No preference for hotdog, Doesn't know area, Lazy, Starts near hotdog. Gets pizza by long route.","Ku_p=0",2
"t000101","No preference for hotdog, Doesn't know area, Lazy, Starts near hotdog. Gets pizza by long route.","P=0",10
"t000101","No preference for hotdog, Doesn't know area, Lazy, Starts near hotdog. Gets pizza by long route.","Pu_f=0",7
"t000110","No preference for hotdog, Doesn't know area, Lazy, Starts near hotdog. Gets hotdog by short route.","C=0",14
"t000110","No preference for hotdog, Doesn't know area, Lazy, Starts near hotdog. Gets hotdog by short route.","K=0",2
"t000110","No preference for hotdog, Doesn't know area, Lazy, Starts near hotdog. Gets hotdog by short route.","Ku_f=0",4
"t000110","No preference for hotdog, Doesn't know area, Lazy, Starts near hotdog. Gets hotdog by short route.","P=1",1
"t000110","No preference for hotdog, Doesn't know area, Lazy, Starts near hotdog. Gets hotdog by short route.","Pu_f=1",1
"t000110","No preference for hotdog, Doesn't know area, Lazy, Starts near hotdog. Gets hotdog by short route.","S=1",1
"t000110","No preference for hotdog, Doesn't know area, Lazy, Starts near hotdog. Gets hotdog by short route.","Su=0",1
"t000110","No preference for hotdog, Doesn't know area, Lazy, Starts near hotdog. Gets hotdog by short route.","Su=1",7
"t000111","No preference for hotdog, Doesn't know area, Lazy, Starts near hotdog. Gets hotdog by long route.","br_f=1",1
"t000111","No preference for hotdog, Doesn't know area, Lazy, Starts near hotdog. Gets hotdog by long route.","br_p=1",1
"t000111","No preference for hotdog, Doesn't know area, Lazy, Starts near hotdog. Gets hotdog by long route.","C=0",1
"t000111","No preference for hotdog, Doesn't know area, Lazy, Starts near hotdog. Gets hotdog by long route.","C=1",1
"t000111","No preference for hotdog, Doesn't know area, Lazy, Starts near hotdog. Gets hotdog by long route.","Cu=1",3
"t000111","No preference for hotdog, Doesn't know area, Lazy, Starts near hotdog. Gets hotdog by long route.","K=0",16
"t000111","No preference for hotdog, Doesn't know area, Lazy, Starts near hotdog. Gets hotdog by long route.","Ku_f=0",1
"t000111","No preference for hotdog, Doesn't know area, Lazy, Starts near hotdog. Gets hotdog by long route.","Ku_p=0",1
"t000111","No preference for hotdog, Doesn't know area, Lazy, Starts near hotdog. Gets hotdog by long route.","P=1",6
"t001000","No preference for hotdog, Doesn't know area, Sporty, Starts near pizza. Gets pizza by short route.","C=1",1
"t001000","No preference for hotdog, Doesn't know area, Sporty, Starts near pizza. Gets pizza by short route.","K=0",4
"t001000","No preference for hotdog, Doesn't know area, Sporty, Starts near pizza. Gets pizza by short route.","Ku_f=0",6
"t001000","No preference for hotdog, Doesn't know area, Sporty, Starts near pizza. Gets pizza by short route.","Ku_f=1",1
"t001000","No preference for hotdog, Doesn't know area, Sporty, Starts near pizza. Gets pizza by short route.","Ku_p=0",1
"t001000","No preference for hotdog, Doesn't know area, Sporty, Starts near pizza. Gets pizza by short route.","Ku_p=1",1
"t001000","No preference for hotdog, Doesn't know area, Sporty, Starts near pizza. Gets pizza by short route.","P=0",3
"t001000","No preference for hotdog, Doesn't know area, Sporty, Starts near pizza. Gets pizza by short route.","Pu_f=0",2
"t001000","No preference for hotdog, Doesn't know area, Sporty, Starts near pizza. Gets pizza by short route.","Pu_p=1",2
"t001000","No preference for hotdog, Doesn't know area, Sporty, Starts near pizza. Gets pizza by short route.","Su=0",10
"t001001","No preference for hotdog, Doesn't know area, Sporty, Starts near pizza. Gets pizza by long route.","br_p=1",3
"t001001","No preference for hotdog, Doesn't know area, Sporty, Starts near pizza. Gets pizza by long route.","C=1",15
"t001001","No preference for hotdog, Doesn't know area, Sporty, Starts near pizza. Gets pizza by long route.","Cu=1",5
"t001001","No preference for hotdog, Doesn't know area, Sporty, Starts near pizza. Gets pizza by long route.","K=0",5
"t001001","No preference for hotdog, Doesn't know area, Sporty, Starts near pizza. Gets pizza by long route.","P=0",2
"t001001","No preference for hotdog, Doesn't know area, Sporty, Starts near pizza. Gets pizza by long route.","P=1",1
"t001010","No preference for hotdog, Doesn't know area, Sporty, Starts near pizza. Gets hotdog by short route.","br_f=1",1
"t001010","No preference for hotdog, Doesn't know area, Sporty, Starts near pizza. Gets hotdog by short route.","br_p=0",1
"t001010","No preference for hotdog, Doesn't know area, Sporty, Starts near pizza. Gets hotdog by short route.","br_p=1",2
"t001010","No preference for hotdog, Doesn't know area, Sporty, Starts near pizza. Gets hotdog by short route.","C=1",4
"t001010","No preference for hotdog, Doesn't know area, Sporty, Starts near pizza. Gets hotdog by short route.","Cu=1",2
"t001010","No preference for hotdog, Doesn't know area, Sporty, Starts near pizza. Gets hotdog by short route.","K=0",8
"t001010","No preference for hotdog, Doesn't know area, Sporty, Starts near pizza. Gets hotdog by short route.","P=1",5
"t001010","No preference for hotdog, Doesn't know area, Sporty, Starts near pizza. Gets hotdog by short route.","Pu_f=1",5
"t001010","No preference for hotdog, Doesn't know area, Sporty, Starts near pizza. Gets hotdog by short route.","Su=1",4
"t001011","No preference for hotdog, Doesn't know area, Sporty, Starts near pizza. Gets hotdog by long route.","br_p=1",3
"t001011","No preference for hotdog, Doesn't know area, Sporty, Starts near pizza. Gets hotdog by long route.","C=1",14
"t001011","No preference for hotdog, Doesn't know area, Sporty, Starts near pizza. Gets hotdog by long route.","Cu=1",3
"t001011","No preference for hotdog, Doesn't know area, Sporty, Starts near pizza. Gets hotdog by long route.","K=0",3
"t001011","No preference for hotdog, Doesn't know area, Sporty, Starts near pizza. Gets hotdog by long route.","Ku_p=0",1
"t001011","No preference for hotdog, Doesn't know area, Sporty, Starts near pizza. Gets hotdog by long route.","P=0",1
"t001011","No preference for hotdog, Doesn't know area, Sporty, Starts near pizza. Gets hotdog by long route.","P=1",2
"t001011","No preference for hotdog, Doesn't know area, Sporty, Starts near pizza. Gets hotdog by long route.","Pu_f=1",3
"t001011","No preference for hotdog, Doesn't know area, Sporty, Starts near pizza. Gets hotdog by long route.","Su=1",1
"t001100","No preference for hotdog, Doesn't know area, Sporty, Starts near hotdog. Gets pizza by short route.","br_p=0",1
"t001100","No preference for hotdog, Doesn't know area, Sporty, Starts near hotdog. Gets pizza by short route.","br_p=1",1
"t001100","No preference for hotdog, Doesn't know area, Sporty, Starts near hotdog. Gets pizza by short route.","C=0",1
"t001100","No preference for hotdog, Doesn't know area, Sporty, Starts near hotdog. Gets pizza by short route.","C=1",5
"t001100","No preference for hotdog, Doesn't know area, Sporty, Starts near hotdog. Gets pizza by short route.","Cu=1",1
"t001100","No preference for hotdog, Doesn't know area, Sporty, Starts near hotdog. Gets pizza by short route.","K=0",7
"t001100","No preference for hotdog, Doesn't know area, Sporty, Starts near hotdog. Gets pizza by short route.","Ku_f=0",3
"t001100","No preference for hotdog, Doesn't know area, Sporty, Starts near hotdog. Gets pizza by short route.","P=0",5
"t001100","No preference for hotdog, Doesn't know area, Sporty, Starts near hotdog. Gets pizza by short route.","Pu_f=0",6
"t001100","No preference for hotdog, Doesn't know area, Sporty, Starts near hotdog. Gets pizza by short route.","Su=0",1
"t001101","No preference for hotdog, Doesn't know area, Sporty, Starts near hotdog. Gets pizza by long route.","br_p=1",2
"t001101","No preference for hotdog, Doesn't know area, Sporty, Starts near hotdog. Gets pizza by long route.","C=1",9
"t001101","No preference for hotdog, Doesn't know area, Sporty, Starts near hotdog. Gets pizza by long route.","Cu=1",6
"t001101","No preference for hotdog, Doesn't know area, Sporty, Starts near hotdog. Gets pizza by long route.","K=0",4
"t001101","No preference for hotdog, Doesn't know area, Sporty, Starts near hotdog. Gets pizza by long route.","P=0",3
"t001101","No preference for hotdog, Doesn't know area, Sporty, Starts near hotdog. Gets pizza by long route.","Pu_f=0",6
"t001101","No preference for hotdog, Doesn't know area, Sporty, Starts near hotdog. Gets pizza by long route.","Su=0",1
"t001110","No preference for hotdog, Doesn't know area, Sporty, Starts near hotdog. Gets hotdog by short route.","Cu=0",1
"t001110","No preference for hotdog, Doesn't know area, Sporty, Starts near hotdog. Gets hotdog by short route.","K=0",8
"t001110","No preference for hotdog, Doesn't know area, Sporty, Starts near hotdog. Gets hotdog by short route.","Ku_f=0",4
"t001110","No preference for hotdog, Doesn't know area, Sporty, Starts near hotdog. Gets hotdog by short route.","P=1",3
"t001110","No preference for hotdog, Doesn't know area, Sporty, Starts near hotdog. Gets hotdog by short route.","Pu_f=1",1
"t001110","No preference for hotdog, Doesn't know area, Sporty, Starts near hotdog. Gets hotdog by short route.","Pu_p=1",1
"t001110","No preference for hotdog, Doesn't know area, Sporty, Starts near hotdog. Gets hotdog by short route.","Su=1",12
"t001111","No preference for hotdog, Doesn't know area, Sporty, Starts near hotdog. Gets hotdog by long route.","br_p=1",3
"t001111","No preference for hotdog, Doesn't know area, Sporty, Starts near hotdog. Gets hotdog by long route.","C=1",15
"t001111","No preference for hotdog, Doesn't know area, Sporty, Starts near hotdog. Gets hotdog by long route.","Cu=1",6
"t001111","No preference for hotdog, Doesn't know area, Sporty, Starts near hotdog. Gets hotdog by long route.","K=0",4
"t001111","No preference for hotdog, Doesn't know area, Sporty, Starts near hotdog. Gets hotdog by long route.","Ku_f=0",3
"t010000","No preference for hotdog, Knows area, Lazy, Starts near pizza. Gets pizza by short route.","C=0",22
"t010000","No preference for hotdog, Knows area, Lazy, Starts near pizza. Gets pizza by short route.","Ku_p=1",2
"t010000","No preference for hotdog, Knows area, Lazy, Starts near pizza. Gets pizza by short route.","P=0",3
"t010000","No preference for hotdog, Knows area, Lazy, Starts near pizza. Gets pizza by short route.","Su=0",3
"t010000","No preference for hotdog, Knows area, Lazy, Starts near pizza. Gets pizza by short route.","Su=1",1
"t010001","No preference for hotdog, Knows area, Lazy, Starts near pizza. Gets pizza by long route.","br_f=0",3
"t010001","No preference for hotdog, Knows area, Lazy, Starts near pizza. Gets pizza by long route.","br_p=1",6
"t010001","No preference for hotdog, Knows area, Lazy, Starts near pizza. Gets pizza by long route.","C=0",1
"t010001","No preference for hotdog, Knows area, Lazy, Starts near pizza. Gets pizza by long route.","C=1",1
"t010001","No preference for hotdog, Knows area, Lazy, Starts near pizza. Gets pizza by long route.","Cu=0",1
"t010001","No preference for hotdog, Knows area, Lazy, Starts near pizza. Gets pizza by long route.","Cu=1",4
"t010001","No preference for hotdog, Knows area, Lazy, Starts near pizza. Gets pizza by long route.","K=0",1
"t010001","No preference for hotdog, Knows area, Lazy, Starts near pizza. Gets pizza by long route.","K=1",1
"t010001","No preference for hotdog, Knows area, Lazy, Starts near pizza. Gets pizza by long route.","Ku_f=0",3
"t010001","No preference for hotdog, Knows area, Lazy, Starts near pizza. Gets pizza by long route.","P=0",3
"t010001","No preference for hotdog, Knows area, Lazy, Starts near pizza. Gets pizza by long route.","Pu_f=0",6
"t010001","No preference for hotdog, Knows area, Lazy, Starts near pizza. Gets pizza by long route.","Pu_f=1",1
"t010001","No preference for hotdog, Knows area, Lazy, Starts near pizza. Gets pizza by long route.","Su=1",1
"t010010","No preference for hotdog, Knows area, Lazy, Starts near pizza. Gets hotdog by short route.","br_p=0",1
"t010010","No preference for hotdog, Knows area, Lazy, Starts near pizza. Gets hotdog by short route.","C=0",3
"t010010","No preference for hotdog, Knows area, Lazy, Starts near pizza. Gets hotdog by short route.","K=1",1
"t010010","No preference for hotdog, Knows area, Lazy, Starts near pizza. Gets hotdog by short route.","Ku_f=1",1
"t010010","No preference for hotdog, Knows area, Lazy, Starts near pizza. Gets hotdog by short route.","Ku_p=1",2
"t010010","No preference for hotdog, Knows area, Lazy, Starts near pizza. Gets hotdog by short route.","P=1",10
"t010010","No preference for hotdog, Knows area, Lazy, Starts near pizza. Gets hotdog by short route.","Pu_f=1",12
"t010011","No preference for hotdog, Knows area, Lazy, Starts near pizza. Gets hotdog by long route.","br_f=1",2
"t010011","No preference for hotdog, Knows area, Lazy, Starts near pizza. Gets hotdog by long route.","br_p=1",4
"t010011","No preference for hotdog, Knows area, Lazy, Starts near pizza. Gets hotdog by long route.","C=1",1
"t010011","No preference for hotdog, Knows area, Lazy, Starts near pizza. Gets hotdog by long route.","Cu=1",4
"t010011","No preference for hotdog, Knows area, Lazy, Starts near pizza. Gets hotdog by long route.","K=1",1
"t010011","No preference for hotdog, Knows area, Lazy, Starts near pizza. Gets hotdog by long route.","Ku_f=0",2
"t010011","No preference for hotdog, Knows area, Lazy, Starts near pizza. Gets hotdog by long route.","P=1",7
"t010011","No preference for hotdog, Knows area, Lazy, Starts near pizza. Gets hotdog by long route.","Pu_f=0",1
"t010011","No preference for hotdog, Knows area, Lazy, Starts near pizza. Gets hotdog by long route.","Pu_f=1",5
"t010011","No preference for hotdog, Knows area, Lazy, Starts near pizza. Gets hotdog by long route.","Su=1",3
"t010100","No preference for hotdog, Knows area, Lazy, Starts near hotdog. Gets pizza by short route.","br_p=0",2
"t010100","No preference for hotdog, Knows area, Lazy, Starts near hotdog. Gets pizza by short route.","C=0",3
"t010100","No preference for hotdog, Knows area, Lazy, Starts near hotdog. Gets pizza by short route.","K=1",3
"t010100","No preference for hotdog, Knows area, Lazy, Starts near hotdog. Gets pizza by short route.","Ku_f=0",1
"t010100","No preference for hotdog, Knows area, Lazy, Starts near hotdog. Gets pizza by short route.","Ku_f=1",4
"t010100","No preference for hotdog, Knows area, Lazy, Starts near hotdog. Gets pizza by short route.","P=0",8
"t010100","No preference for hotdog, Knows area, Lazy, Starts near hotdog. Gets pizza by short route.","Pu_f=0",9
"t010100","No preference for hotdog, Knows area, Lazy, Starts near hotdog. Gets pizza by short route.","Su=0",2
"t010101","No preference for hotdog, Knows area, Lazy, Starts near hotdog. Gets pizza by long route.","br_f=0",2
"t010101","No preference for hotdog, Knows area, Lazy, Starts near hotdog. Gets pizza by long route.","br_p=0",1
"t010101","No preference for hotdog, Knows area, Lazy, Starts near hotdog. Gets pizza by long route.","br_p=1",3
"t010101","No preference for hotdog, Knows area, Lazy, Starts near hotdog. Gets pizza by long route.","Cu=1",4
"t010101","No preference for hotdog, Knows area, Lazy, Starts near hotdog. Gets pizza by long route.","Ku_f=0",1
"t010101","No preference for hotdog, Knows area, Lazy, Starts near hotdog. Gets pizza by long route.","Ku_p=1",1
"t010101","No preference for hotdog, Knows area, Lazy, Starts near hotdog. Gets pizza by long route.","P=0",7
"t010101","No preference for hotdog, Knows area, Lazy, Starts near hotdog. Gets pizza by long route.","Pu_f=0",10
"t010101","No preference for hotdog, Knows area, Lazy, Starts near hotdog. Gets pizza by long route.","Su=0",1
"t010101","No preference for hotdog, Knows area, Lazy, Starts near hotdog. Gets pizza by long route.","Su=1",1
"t010110","No preference for hotdog, Knows area, Lazy, Starts near hotdog. Gets hotdog by short route.","br_p=0",1
"t010110","No preference for hotdog, Knows area, Lazy, Starts near hotdog. Gets hotdog by short route.","C=0",19
"t010110","No preference for hotdog, Knows area, Lazy, Starts near hotdog. Gets hotdog by short route.","Ku_f=1",1
"t010110","No preference for hotdog, Knows area, Lazy, Starts near hotdog. Gets hotdog by short route.","Ku_p=1",2
"t010110","No preference for hotdog, Knows area, Lazy, Starts near hotdog. Gets hotdog by short route.","P=1",3
"t010110","No preference for hotdog, Knows area, Lazy, Starts near hotdog. Gets hotdog by short route.","Pu_f=1",2
"t010110","No preference for hotdog, Knows area, Lazy, Starts near hotdog. Gets hotdog by short route.","Pu_p=1",1
"t010110","No preference for hotdog, Knows area, Lazy, Starts near hotdog. Gets hotdog by short route.","Su=1",3
"t010111","No preference for hotdog, Knows area, Lazy, Starts near hotdog. Gets hotdog by long route.","br_f=1",1
"t010111","No preference for hotdog, Knows area, Lazy, Starts near hotdog. Gets hotdog by long route.","br_p=1",5
"t010111","No preference for hotdog, Knows area, Lazy, Starts near hotdog. Gets hotdog by long route.","C=0",2
"t010111","No preference for hotdog, Knows area, Lazy, Starts near hotdog. Gets hotdog by long route.","Cu=1",10
"t010111","No preference for hotdog, Knows area, Lazy, Starts near hotdog. Gets hotdog by long route.","K=0",2
"t010111","No preference for hotdog, Knows area, Lazy, Starts near hotdog. Gets hotdog by long route.","K=1",1
"t010111","No preference for hotdog, Knows area, Lazy, Starts near hotdog. Gets hotdog by long route.","Ku_f=0",1
"t010111","No preference for hotdog, Knows area, Lazy, Starts near hotdog. Gets hotdog by long route.","Ku_p=0",1
"t010111","No preference for hotdog, Knows area, Lazy, Starts near hotdog. Gets hotdog by long route.","P=1",2
"t010111","No preference for hotdog, Knows area, Lazy, Starts near hotdog. Gets hotdog by long route.","Pu_f=1",3
"t010111","No preference for hotdog, Knows area, Lazy, Starts near hotdog. Gets hotdog by long route.","Su=1",1
"t011000","No preference for hotdog, Knows area, Sporty, Starts near pizza. Gets pizza by short route.","br_p=0",1
"t011000","No preference for hotdog, Knows area, Sporty, Starts near pizza. Gets pizza by short route.","C=0",5
"t011000","No preference for hotdog, Knows area, Sporty, Starts near pizza. Gets pizza by short route.","Cu=0",1
"t011000","No preference for hotdog, Knows area, Sporty, Starts near pizza. Gets pizza by short route.","K=0",1
"t011000","No preference for hotdog, Knows area, Sporty, Starts near pizza. Gets pizza by short route.","K=1",2
"t011000","No preference for hotdog, Knows area, Sporty, Starts near pizza. Gets pizza by short route.","Ku_f=1",3
"t011000","No preference for hotdog, Knows area, Sporty, Starts near pizza. Gets pizza by short route.","Ku_p=1",1
"t011000","No preference for hotdog, Knows area, Sporty, Starts near pizza. Gets pizza by short route.","P=0",6
"t011000","No preference for hotdog, Knows area, Sporty, Starts near pizza. Gets pizza by short route.","Pu_f=0",6
"t011000","No preference for hotdog, Knows area, Sporty, Starts near pizza. Gets pizza by short route.","Pu_p=1",3
"t011000","No preference for hotdog, Knows area, Sporty, Starts near pizza. Gets pizza by short route.","Su=0",4
"t011001","No preference for hotdog, Knows area, Sporty, Starts near pizza. Gets pizza by long route.","br_p=1",3
"t011001","No preference for hotdog, Knows area, Sporty, Starts near pizza. Gets pizza by long route.","C=1",14
"t011001","No preference for hotdog, Knows area, Sporty, Starts near pizza. Gets pizza by long route.","Cu=1",8
"t011001","No preference for hotdog, Knows area, Sporty, Starts near pizza. Gets pizza by long route.","K=0",1
"t011001","No preference for hotdog, Knows area, Sporty, Starts near pizza. Gets pizza by long route.","K=1",1
"t011001","No preference for hotdog, Knows area, Sporty, Starts near pizza. Gets pizza by long route.","Ku_f=0",1
"t011001","No preference for hotdog, Knows area, Sporty, Starts near pizza. Gets pizza by long route.","P=0",3
"t011010","No preference for hotdog, Knows area, Sporty, Starts near pizza. Gets hotdog by short route.","br_p=0",1
"t011010","No preference for hotdog, Knows area, Sporty, Starts near pizza. Gets hotdog by short route.","C=1",2
"t011010","No preference for hotdog, Knows area, Sporty, Starts near pizza. Gets hotdog by short route.","Cu=1",3
"t011010","No preference for hotdog, Knows area, Sporty, Starts near pizza. Gets hotdog by short route.","K=1",2
"t011010","No preference for hotdog, Knows area, Sporty, Starts near pizza. Gets hotdog by short route.","Ku_p=1",3
"t011010","No preference for hotdog, Knows area, Sporty, Starts near pizza. Gets hotdog by short route.","P=1",9
"t011010","No preference for hotdog, Knows area, Sporty, Starts near pizza. Gets hotdog by short route.","Pu_f=1",10
"t011010","No preference for hotdog, Knows area, Sporty, Starts near pizza. Gets hotdog by short route.","Su=1",1
"t011011","No preference for hotdog, Knows area, Sporty, Starts near pizza. Gets hotdog by long route.","C=1",17
"t011011","No preference for hotdog, Knows area, Sporty, Starts near pizza. Gets hotdog by long route.","Cu=1",8
"t011011","No preference for hotdog, Knows area, Sporty, Starts near pizza. Gets hotdog by long route.","K=0",1
"t011011","No preference for hotdog, Knows area, Sporty, Starts near pizza. Gets hotdog by long route.","Ku_f=1",1
"t011011","No preference for hotdog, Knows area, Sporty, Starts near pizza. Gets hotdog by long route.","P=1",1
"t011011","No preference for hotdog, Knows area, Sporty, Starts near pizza. Gets hotdog by long route.","Pu_f=1",4
"t011100","No preference for hotdog, Knows area, Sporty, Starts near hotdog. Gets pizza by short route.","br_f=0",1
"t011100","No preference for hotdog, Knows area, Sporty, Starts near hotdog. Gets pizza by short route.","C=0",3
"t011100","No preference for hotdog, Knows area, Sporty, Starts near hotdog. Gets pizza by short route.","C=1",2
"t011100","No preference for hotdog, Knows area, Sporty, Starts near hotdog. Gets pizza by short route.","Cu=1",1
"t011100","No preference for hotdog, Knows area, Sporty, Starts near hotdog. Gets pizza by short route.","K=1",1
"t011100","No preference for hotdog, Knows area, Sporty, Starts near hotdog. Gets pizza by short route.","Ku_f=1",1
"t011100","No preference for hotdog, Knows area, Sporty, Starts near hotdog. Gets pizza by short route.","Ku_p=1",3
"t011100","No preference for hotdog, Knows area, Sporty, Starts near hotdog. Gets pizza by short route.","P=0",6
"t011100","No preference for hotdog, Knows area, Sporty, Starts near hotdog. Gets pizza by short route.","Pu_f=0",11
"t011100","No preference for hotdog, Knows area, Sporty, Starts near hotdog. Gets pizza by short route.","S=0",1
"t011100","No preference for hotdog, Knows area, Sporty, Starts near hotdog. Gets pizza by short route.","Su=0",1
"t011101","No preference for hotdog, Knows area, Sporty, Starts near hotdog. Gets pizza by long route.","br_f=0",1
"t011101","No preference for hotdog, Knows area, Sporty, Starts near hotdog. Gets pizza by long route.","C=1",13
"t011101","No preference for hotdog, Knows area, Sporty, Starts near hotdog. Gets pizza by long route.","Cu=1",7
"t011101","No preference for hotdog, Knows area, Sporty, Starts near hotdog. Gets pizza by long route.","K=1",1
"t011101","No preference for hotdog, Knows area, Sporty, Starts near hotdog. Gets pizza by long route.","Ku_p=0",1
"t011101","No preference for hotdog, Knows area, Sporty, Starts near hotdog. Gets pizza by long route.","P=0",3
"t011101","No preference for hotdog, Knows area, Sporty, Starts near hotdog. Gets pizza by long route.","P=1",1
"t011101","No preference for hotdog, Knows area, Sporty, Starts near hotdog. Gets pizza by long route.","Pu_f=0",5
"t011110","No preference for hotdog, Knows area, Sporty, Starts near hotdog. Gets hotdog by short route.","br_p=0",4
"t011110","No preference for hotdog, Knows area, Sporty, Starts near hotdog. Gets hotdog by short route.","C=1",1
"t011110","No preference for hotdog, Knows area, Sporty, Starts near hotdog. Gets hotdog by short route.","Cu=0",3
"t011110","No preference for hotdog, Knows area, Sporty, Starts near hotdog. Gets hotdog by short route.","K=1",2
"t011110","No preference for hotdog, Knows area, Sporty, Starts near hotdog. Gets hotdog by short route.","Ku_p=1",2
"t011110","No preference for hotdog, Knows area, Sporty, Starts near hotdog. Gets hotdog by short route.","P=1",8
"t011110","No preference for hotdog, Knows area, Sporty, Starts near hotdog. Gets hotdog by short route.","Pu_f=1",7
"t011110","No preference for hotdog, Knows area, Sporty, Starts near hotdog. Gets hotdog by short route.","Su=1",4
"t011111","No preference for hotdog, Knows area, Sporty, Starts near hotdog. Gets hotdog by long route.","C=1",18
"t011111","No preference for hotdog, Knows area, Sporty, Starts near hotdog. Gets hotdog by long route.","Cu=1",9
