filename,subjectGroup,browser,version,screenWidth,screenHeight,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,mindsCode,batchID,link,duration_s,duration,duration_m,rowNo,type,stim1,stim2,stim3,stim4,stimFormat,ITI,ISI,presTime,stimPos,responseType,responseOptions,head,trialText,trialTextPos,subjectGroup,random,tag,stimPos_actual,ITI_ms,ITI_f,ITI_fDuration,presTime_ms,presTime_f,presTime_fDuration,timestamp,response,RT,responseCode
522931_231101_122322_M701443.csv,6,Chrome,118.0.0.0,1280,720,Windows,en-GB,2023-11-01_12:17:27,2023-11-01_12:17:27,2023-10-31_10:09:10,M701443,TYKHTP-01,https://www.testable.org/experiment/6826/522931/start?participant=M701443&batch_id=TYKHTP-01,368.318,356519,5.9419,75,form,,,,,,,,,,box,,Please state your age in the text box below.,,,6,,,,800,,,,,,356519,27,11799,NA
522931_231101_122322_M701443.csv,6,Chrome,118.0.0.0,1280,720,Windows,en-GB,2023-11-01_12:17:27,2023-11-01_12:17:27,2023-10-31_10:09:10,M701443,TYKHTP-01,https://www.testable.org/experiment/6826/522931/start?participant=M701443&batch_id=TYKHTP-01,368.318,356519,5.9419,76,form,,,,,,,,,,comment,,Do you have any comments or feedback regarding the experiment?,,,6,,,,800,,,,,,356519,NA,11799,NA
522931_231101_122334_M440728.csv,7,Chrome,118.0.0.0,1920,1080,Windows,en-GB,2023-11-01_12:17:38,2023-11-01_12:17:38,2023-10-31_10:09:10,M440728,TYKHTP-01,https://www.testable.org/experiment/6826/522931/start?participant=M440728&batch_id=TYKHTP-01,361.39,356705,5.945,61,test,ADS,B start,ADS,BPL end,.png,800,;0,6000;,0 -300; 0 0; 0 -300; 0 0,comment,,,What do you think is the single best explanation for the person's chosen path?,below,7,7,t001011,0 -300;0 0;0 -300;0 0,800,132,6.06,6003,990,6.06,135615,He wanted to explore the area before eating.,24824,
522931_231101_122334_M440728.csv,7,Chrome,118.0.0.0,1920,1080,Windows,en-GB,2023-11-01_12:17:38,2023-11-01_12:17:38,2023-10-31_10:09:10,M440728,TYKHTP-01,https://www.testable.org/experiment/6826/522931/start?participant=M440728&batch_id=TYKHTP-01,361.39,356705,5.945,58,test,FDL,B start,FDL,BNS end,.png,800,;0,6000;,0 -300; 0 0; 0 -300; 0 0,comment,,,What do you think is the single best explanation for the person's chosen path?,below,7,7,t100000,0 -300;0 0;0 -300;0 0,800,132,6.06,6003,990,6.06,164080,They were too lazy to explore so just got pizza.,21665,
522931_231101_122334_M440728.csv,7,Chrome,118.0.0.0,1920,1080,Windows,en-GB,2023-11-01_12:17:38,2023-11-01_12:17:38,2023-10-31_10:09:10,M440728,TYKHTP-01,https://www.testable.org/experiment/6826/522931/start?participant=M440728&batch_id=TYKHTP-01,361.39,356705,5.945,64,test,AKL,A start,AKL,ANL end,.png,800,;0,6000;,0 -300; 0 0; 0 -300; 0 0,comment,,,What do you think is the single best explanation for the person's chosen path?,below,7,7,t010101,0 -300;0 0;0 -300;0 0,800,132,6.06,6003,990,6.06,202700,He felt like going for a walk and wanted pizza.,31815,
522931_231101_122334_M440728.csv,7,Chrome,118.0.0.0,1920,1080,Windows,en-GB,2023-11-01_12:17:38,2023-11-01_12:17:38,2023-10-31_10:09:10,M440728,TYKHTP-01,https://www.testable.org/experiment/6826/522931/start?participant=M440728&batch_id=TYKHTP-01,361.39,356705,5.945,59,test,FKS,B start,FKS,BPS end,.png,800,;0,6000;,0 -300; 0 0; 0 -300; 0 0,comment,,,What do you think is the single best explanation for the person's chosen path?,below,7,7,t111010,0 -300;0 0;0 -300;0 0,800,132,6.06,6003,990,6.06,226915,Hot dogs are their favourite food.,17414,
522931_231101_122334_M440728.csv,7,Chrome,118.0.0.0,1920,1080,Windows,en-GB,2023-11-01_12:17:38,2023-11-01_12:17:38,2023-10-31_10:09:10,M440728,TYKHTP-01,https://www.testable.org/experiment/6826/522931/start?participant=M440728&batch_id=TYKHTP-01,361.39,356705,5.945,63,test,AKS,A start,AKS,ANS end,.png,800,;0,6000;,0 -300; 0 0; 0 -300; 0 0,comment,,,What do you think is the single best explanation for the person's chosen path?,below,7,7,t011100,0 -300;0 0;0 -300;0 0,800,132,6.06,6002,990,6.06,251291,His favourite food might be pizza.,17577,
522931_231101_122334_M440728.csv,7,Chrome,118.0.0.0,1920,1080,Windows,en-GB,2023-11-01_12:17:38,2023-11-01_12:17:38,2023-10-31_10:09:10,M440728,TYKHTP-01,https://www.testable.org/experiment/6826/522931/start?participant=M440728&batch_id=TYKHTP-01,361.39,356705,5.945,62,test,ADL,A start,ADL,APS end,.png,800,;0,6000;,0 -300; 0 0; 0 -300; 0 0,comment,,,What do you think is the single best explanation for the person's chosen path?,below,7,7,t000110,0 -300;0 0;0 -300;0 0,800,132,6.06,6004,990,6.06,282541,He may not have known pizza was just as close and was too lazy to find out.,24445,
522931_231101_122334_M440728.csv,7,Chrome,118.0.0.0,1920,1080,Windows,en-GB,2023-11-01_12:17:38,2023-11-01_12:17:38,2023-10-31_10:09:10,M440728,TYKHTP-01,https://www.testable.org/experiment/6826/522931/start?participant=M440728&batch_id=TYKHTP-01,361.39,356705,5.945,57,test,FDS,B start,FDS,BNL end,.png,800,;0,6000;,0 -300; 0 0; 0 -300; 0 0,comment,,,What do you think is the single best explanation for the person's chosen path?,below,7,7,t101001,0 -300;0 0;0 -300;0 0,801,132,6.06,6003,990,6.06,306138,They wanted to go for a long walk before eating.,16797,
522931_231101_122334_M440728.csv,7,Chrome,118.0.0.0,1920,1080,Windows,en-GB,2023-11-01_12:17:38,2023-11-01_12:17:38,2023-10-31_10:09:10,M440728,TYKHTP-01,https://www.testable.org/experiment/6826/522931/start?participant=M440728&batch_id=TYKHTP-01,361.39,356705,5.945,60,test,FKL,A start,FKL,APL end,.png,800,;0,6000;,0 -300; 0 0; 0 -300; 0 0,comment,,,What do you think is the single best explanation for the person's chosen path?,below,7,7,t110111,0 -300;0 0;0 -300;0 0,800,132,6.06,5998,989,6.06,343499,Wanted to check what the pizza van was offering before getting hot dogs as usual.,30565,
522931_231101_122334_M440728.csv,7,Chrome,118.0.0.0,1920,1080,Windows,en-GB,2023-11-01_12:17:38,2023-11-01_12:17:38,2023-10-31_10:09:10,M440728,TYKHTP-01,https://www.testable.org/experiment/6826/522931/start?participant=M440728&batch_id=TYKHTP-01,361.39,356705,5.945,74,form,,,,,,,,,,dropdown,Male;Female;Prefer not say,To which gender do you most identify?,,,7,,,,800,,,,,,356705,Male,4685,1
522931_231101_122334_M440728.csv,7,Chrome,118.0.0.0,1920,1080,Windows,en-GB,2023-11-01_12:17:38,2023-11-01_12:17:38,2023-10-31_10:09:10,M440728,TYKHTP-01,https://www.testable.org/experiment/6826/522931/start?participant=M440728&batch_id=TYKHTP-01,361.39,356705,5.945,75,form,,,,,,,,,,box,,Please state your age in the text box below.,,,7,,,,800,,,,,,356705,23,4685,NA
522931_231101_122334_M440728.csv,7,Chrome,118.0.0.0,1920,1080,Windows,en-GB,2023-11-01_12:17:38,2023-11-01_12:17:38,2023-10-31_10:09:10,M440728,TYKHTP-01,https://www.testable.org/experiment/6826/522931/start?participant=M440728&batch_id=TYKHTP-01,361.39,356705,5.945,76,form,,,,,,,,,,comment,,Do you have any comments or feedback regarding the experiment?,,,7,,,,800,,,,,,356705,NA,4685,NA
522931_231101_122442_M481805.csv,5,Chrome,118.0.0.0,1920,1080,Linux,en-GB,2023-11-01_12:17:27,2023-11-01_12:17:27,2023-10-31_10:09:10,M481805,TYKHTP-01,https://www.testable.org/experiment/6826/522931/start?participant=M481805&batch_id=TYKHTP-01,441.792,435901,7.265,48,test,AKL,A start,AKL,APL end,.png,800,;0,6000;,0 -300; 0 0; 0 -300; 0 0,comment,,,What do you think is the single best explanation for the person's chosen path?,below,5,5,t010111,0 -300;0 0;0 -300;0 0,800,48,16.66,5999,360,16.66,148849,Charlie wanted to get some exercise in because he know he is generally lazy,76224,
522931_231101_122442_M481805.csv,5,Chrome,118.0.0.0,1920,1080,Linux,en-GB,2023-11-01_12:17:27,2023-11-01_12:17:27,2023-10-31_10:09:10,M481805,TYKHTP-01,https://www.testable.org/experiment/6826/522931/start?participant=M481805&batch_id=TYKHTP-01,441.792,435901,7.265,45,test,ADS,A start,ADS,ANL end,.png,800,;0,6000;,0 -300; 0 0; 0 -300; 0 0,comment,,,What do you think is the single best explanation for the person's chosen path?,below,5,5,t001101,0 -300;0 0;0 -300;0 0,800,48,16.66,5999,360,16.66,179302,Brooklyn wanted pizza and kept walking until he found it.,23659,
522931_231101_122442_M481805.csv,5,Chrome,118.0.0.0,1920,1080,Linux,en-GB,2023-11-01_12:17:27,2023-11-01_12:17:27,2023-10-31_10:09:10,M481805,TYKHTP-01,https://www.testable.org/experiment/6826/522931/start?participant=M481805&batch_id=TYKHTP-01,441.792,435901,7.265,46,test,ADL,B start,ADL,BNS end,.png,800,;0,6000;,0 -300; 0 0; 0 -300; 0 0,comment,,,What do you think is the single best explanation for the person's chosen path?,below,5,5,t000000,0 -300;0 0;0 -300;0 0,800,48,16.66,5999,360,16.66,220501,Saw the pizza stand was close and went since Adrian is lazy,34395,
522931_231101_122442_M481805.csv,5,Chrome,118.0.0.0,1920,1080,Linux,en-GB,2023-11-01_12:17:27,2023-11-01_12:17:27,2023-10-31_10:09:10,M481805,TYKHTP-01,https://www.testable.org/experiment/6826/522931/start?participant=M481805&batch_id=TYKHTP-01,441.792,435901,7.265,43,test,FKS,A start,FKS,ANS end,.png,800,;0,6000;,0 -300; 0 0; 0 -300; 0 0,comment,,,What do you think is the single best explanation for the person's chosen path?,below,5,5,t111100,0 -300;0 0;0 -300;0 0,800,48,16.66,5999,360,16.66,250838,Taylor wanted to mix it up and have pizza instead,23538,
522931_231101_122442_M481805.csv,5,Chrome,118.0.0.0,1920,1080,Linux,en-GB,2023-11-01_12:17:27,2023-11-01_12:17:27,2023-10-31_10:09:10,M481805,TYKHTP-01,https://www.testable.org/experiment/6826/522931/start?participant=M481805&batch_id=TYKHTP-01,441.792,435901,7.265,41,test,FDS,B start,FDS,BPL end,.png,800,;0,6000;,0 -300; 0 0; 0 -300; 0 0,comment,,,What do you think is the single best explanation for the person's chosen path?,below,5,5,t101011,0 -300;0 0;0 -300;0 0,800,48,16.66,5999,360,16.66,279122,Jesse was looking for hot dogs and kept walking until he found them,21493,
522931_231101_122442_M481805.csv,5,Chrome,118.0.0.0,1920,1080,Linux,en-GB,2023-11-01_12:17:27,2023-11-01_12:17:27,2023-10-31_10:09:10,M481805,TYKHTP-01,https://www.testable.org/experiment/6826/522931/start?participant=M481805&batch_id=TYKHTP-01,441.792,435901,7.265,47,test,AKS,A start,AKS,APS end,.png,800,;0,6000;,0 -300; 0 0; 0 -300; 0 0,comment,,,What do you think is the single best explanation for the person's chosen path?,below,5,5,t011110,0 -300;0 0;0 -300;0 0,800,48,16.66,5999,360,16.66,335793,Drew wanted hot dogs.,49869,
522931_231101_122442_M481805.csv,5,Chrome,118.0.0.0,1920,1080,Linux,en-GB,2023-11-01_12:17:27,2023-11-01_12:17:27,2023-10-31_10:09:10,M481805,TYKHTP-01,https://www.testable.org/experiment/6826/522931/start?participant=M481805&batch_id=TYKHTP-01,441.792,435901,7.265,42,test,FDL,B start,FDL,BPS end,.png,800,;0,6000;,0 -300; 0 0; 0 -300; 0 0,comment,,,What do you think is the single best explanation for the person's chosen path?,below,5,5,t100010,0 -300;0 0;0 -300;0 0,800,48,16.66,5999,360,16.66,368144,Didn't fancy pizza so walked the other way hoping something else would pop up,25562,
522931_231101_122442_M481805.csv,5,Chrome,118.0.0.0,1920,1080,Linux,en-GB,2023-11-01_12:17:27,2023-11-01_12:17:27,2023-10-31_10:09:10,M481805,TYKHTP-01,https://www.testable.org/experiment/6826/522931/start?participant=M481805&batch_id=TYKHTP-01,441.792,435901,7.265,44,test,FKL,B start,FKL,BNL end,.png,800,;0,6000;,0 -300; 0 0; 0 -300; 0 0,comment,,,What do you think is the single best explanation for the person's chosen path?,below,5,5,t110001,0 -300;0 0;0 -300;0 0,800,48,16.66,5999,360,16.66,421767,Parker decided he needed some exercise as he is generally lazy and also wanted to mix it up and not eat hot dogs again,46828,
522931_231101_122442_M481805.csv,5,Chrome,118.0.0.0,1920,1080,Linux,en-GB,2023-11-01_12:17:27,2023-11-01_12:17:27,2023-10-31_10:09:10,M481805,TYKHTP-01,https://www.testable.org/experiment/6826/522931/start?participant=M481805&batch_id=TYKHTP-01,441.792,435901,7.265,74,form,,,,,,,,,,dropdown,Male;Female;Prefer not say,To which gender do you most identify?,,,5,,,,800,,,,,,435901,Female,5891,2
522931_231101_122442_M481805.csv,5,Chrome,118.0.0.0,1920,1080,Linux,en-GB,2023-11-01_12:17:27,2023-11-01_12:17:27,2023-10-31_10:09:10,M481805,TYKHTP-01,https://www.testable.org/experiment/6826/522931/start?participant=M481805&batch_id=TYKHTP-01,441.792,435901,7.265,75,form,,,,,,,,,,box,,Please state your age in the text box below.,,,5,,,,800,,,,,,435901,28,5891,NA
522931_231101_122442_M481805.csv,5,Chrome,118.0.0.0,1920,1080,Linux,en-GB,2023-11-01_12:17:27,2023-11-01_12:17:27,2023-10-31_10:09:10,M481805,TYKHTP-01,https://www.testable.org/experiment/6826/522931/start?participant=M481805&batch_id=TYKHTP-01,441.792,435901,7.265,76,form,,,,,,,,,,comment,,Do you have any comments or feedback regarding the experiment?,,,5,,,,800,,,,,,435901,NA,5891,NA
